date,gap_bps,mon_range,symbol
2023-01-09,105.9622195985832,9.535779763088685,BTCUSDT
2023-01-16,486.71455120799624,25.10827284468178,BTCUSDT
2023-01-23,20.523911460288424,20.635207059641942,BTCUSDT
2023-01-30,291.12113066851686,19.075574182272035,BTCUSDT
2023-02-06,-212.94300894019293,14.108570228691057,BTCUSDT
2023-02-13,70.61532912200352,16.372474496322216,BTCUSDT
2023-02-20,-126.61730002441196,22.98594994648692,BTCUSDT
2023-02-27,156.6092015993048,17.638687629352702,BTCUSDT
2023-03-06,32.757833686867244,9.669521046190592,BTCUSDT
2023-03-13,912.3000387262059,44.00522313276626,BTCUSDT
2023-03-20,211.77991541950547,34.562689842237994,BTCUSDT
2023-03-27,187.51913460557157,20.996881681758808,BTCUSDT
2023-04-03,-104.10479367076508,23.247342966469322,BTCUSDT
2023-04-10,152.59537659319645,15.300685854047682,BTCUSDT
2023-04-17,-46.75046487637169,13.816043197753539,BTCUSDT
2023-04-24,117.30732537830413,18.961653801447568,BTCUSDT
2023-05-01,-26.93191243885673,20.940524966675127,BTCUSDT
2023-05-08,-366.60202338007485,21.14438608920718,BTCUSDT
2023-05-15,46.155052596597024,15.035600837997132,BTCUSDT
2023-05-22,-50.09527779431866,10.785600496093704,BTCUSDT
2023-05-29,507.5482300056189,13.627602751690969,BTCUSDT
2023-06-05,-48.68180967101176,18.895474241062026,BTCUSDT
2023-06-12,-208.44983148699535,13.206471809802474,BTCUSDT
2023-06-19,3.1908589488383043,12.14008927461753,BTCUSDT
2023-06-26,-69.7982988905943,16.789053332587926,BTCUSDT
2023-07-03,44.77195516239707,12.498805179216129,BTCUSDT
2023-07-10,-59.838781464813806,13.280188739286766,BTCUSDT
2023-07-17,-24.22858048245824,12.492071316080187,BTCUSDT
2023-07-24,61.16085170166264,12.02736433968291,BTCUSDT
2023-07-31,-9.112690189011508,7.522941918206832,BTCUSDT
2023-08-07,-9.208830856455297,8.271790345702449,BTCUSDT
2023-08-14,-38.281220783371595,7.21960196650363,BTCUSDT
2023-08-21,52.22633974002022,10.315576520489575,BTCUSDT
2023-08-28,15.203928449389892,8.377717387213977,BTCUSDT
2023-09-04,64.43433861756942,8.692490268382251,BTCUSDT
2023-09-11,-27.261950272040593,15.161281733098242,BTCUSDT
2023-09-18,-27.90638198646778,15.614023336417533,BTCUSDT
2023-09-25,-125.27431989369676,11.126254671414976,BTCUSDT
2023-10-02,403.20211788939855,21.019611049421638,BTCUSDT
2023-10-09,-4.836542767576724,12.207498893067676,BTCUSDT
2023-10-16,108.98918675293467,25.902199540155536,BTCUSDT
2023-10-23,109.90567469403967,38.057803858746915,BTCUSDT
2023-10-30,184.2469994986895,15.273728873480625,BTCUSDT
2023-11-06,90.89835570750049,13.51478632718699,BTCUSDT
2023-11-13,-65.83599391458917,16.575991033464064,BTCUSDT
2023-11-20,204.376852574637,19.077385396728634,BTCUSDT
2023-11-27,-71.46454605699071,16.0987530103623,BTCUSDT
2023-12-04,339.95264289850223,26.013505957193562,BTCUSDT
2023-12-11,-87.28853622621102,32.0166358837051,BTCUSDT
2023-12-18,-139.25778411946644,21.733986753217106,BTCUSDT
2023-12-25,-224.4262667575547,13.539411269156256,BTCUSDT
2024-01-01,54.54290621518254,14.53775281270707,BTCUSDT
2024-01-08,-49.95833031379182,29.56451859920479,BTCUSDT
2024-01-15,-249.26456671939602,19.677363288822413,BTCUSDT
2024-01-22,-18.577634831865588,29.61218278128888,BTCUSDT
2024-01-29,50.352226381695786,17.22333297162595,BTCUSDT
2024-02-05,-143.22075311326788,15.144885797332266,BTCUSDT
2024-02-12,255.9292395973034,21.62993794720301,BTCUSDT
2024-02-19,4.4485521113357684,14.834607910456677,BTCUSDT
2024-02-26,192.05316274196082,18.24530512532605,BTCUSDT
2024-03-04,122.01686703750214,37.4171494996522,BTCUSDT
2024-03-11,122.45287170835395,30.110695298102037,BTCUSDT
2024-03-18,-157.0109804124642,30.30966140747619,BTCUSDT
2024-03-25,537.8291896364229,28.14912424558345,BTCUSDT
2024-04-01,211.5617918373891,20.358885278109145,BTCUSDT
2024-04-08,227.23921314182994,21.47626476315279,BTCUSDT
2024-04-15,-223.73194478586987,34.32460676877926,BTCUSDT
2024-04-22,178.15814396909158,21.271911645920703,BTCUSDT
2024-04-29,-102.46917453644144,19.944550269182926,BTCUSDT
2024-05-06,183.80755821262306,22.23472423117043,BTCUSDT
2024-05-13,108.68724820732645,19.970757764354627,BTCUSDT
2024-05-20,-110.08914039986273,22.52037037392814,BTCUSDT
2024-05-27,-7.494896471273993,14.621026927404008,BTCUSDT
2024-06-03,32.65448710547236,17.595526439667342,BTCUSDT
2024-06-10,36.35975840864391,10.242045531444596,BTCUSDT
2024-06-17,93.45482966077512,17.60359510698511,BTCUSDT
2024-06-24,-144.8174417353132,27.48662879630203,BTCUSDT
2024-07-01,387.95750760270977,15.394072160051174,BTCUSDT
2024-07-08,-134.78131823867366,36.19827389558243,BTCUSDT
2024-07-15,500.3205964649715,25.224109444610804,BTCUSDT
2024-07-22,227.84882316128073,18.389434112969145,BTCUSDT
2024-07-29,52.97482517276242,21.984888525577745,BTCUSDT
2024-08-05,-541.4178558063098,92.25309246493099,BTCUSDT
2024-08-12,-347.20109709955983,35.130236278222604,BTCUSDT
2024-08-19,-75.3780798640613,20.706545802872434,BTCUSDT
2024-08-26,27.48222795094124,17.89909343293017,BTCUSDT
2024-09-02,-310.45212509454245,20.018819234883743,BTCUSDT
2024-09-09,169.8186672599844,23.851478113745085,BTCUSDT
