state,target,real_uplift,shuffle_mean,shuffle_std,shuffle_p95,shuffle_p99,real_exceeds_p99,symbol
S10_thin_move,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,1000RATSUSDT
S10_thin_move,big_B_24h,0.7829299461720172,0.8538575998141191,0.10940550058825146,1.0439065948960229,1.1019014057235799,0.0,1000RATSUSDT
S06_compress_vol,big_A_k3.0_24h,,,,,,,1000TURBOUSDT
S06_compress_vol,big_B_24h,,,,,,,1000TURBOUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,1000TURBOUSDT
S07_compress_oi,big_B_24h,1.889631480833259,1.879390897324227,0.1738233538553711,2.13345489771497,2.255366606155825,0.0,1000TURBOUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,1000TURBOUSDT
S01_fund_high,big_B_24h,,,,,,,1000TURBOUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,1000TURBOUSDT
S03_oi_surge,big_B_24h,0.8972802080101643,1.0293893542525374,0.06852061470254757,1.1431104019855516,1.1923993558776167,0.0,1000TURBOUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,1000TURBOUSDT
S09_stall_fund,big_B_24h,1.6506203682321083,1.3484782398757165,0.21565424837275599,1.729221338147923,1.886423277979552,0.0,1000TURBOUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,1000TURBOUSDT
S10_thin_move,big_B_24h,0.8741961532100363,0.8524286689951064,0.07453481937065047,0.976185704417874,1.019895512078376,0.0,1000TURBOUSDT
S06_compress_vol,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,2ZUSDT
S06_compress_vol,big_B_24h,1.5882914412981228,1.5041119949093222,0.3390397729826909,1.9853643016226536,2.183900731784919,0.0,2ZUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,2ZUSDT
S07_compress_oi,big_B_24h,2.2674950181690305,2.254621498065877,0.13841662751327044,2.486930019927324,2.5600750205134215,0.0,2ZUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,2ZUSDT
S01_fund_high,big_B_24h,,,,,,,2ZUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,2ZUSDT
S03_oi_surge,big_B_24h,1.191218580973592,1.2460734613073143,0.08367555171557954,1.3824018100187365,1.441227418955704,0.0,2ZUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,2ZUSDT
S09_stall_fund,big_B_24h,1.0888802149105687,0.7921890110899364,0.0966845322216054,0.945606502422336,1.060225472412922,1.0,2ZUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,2ZUSDT
S10_thin_move,big_B_24h,0.3088344469190794,0.5012383073496659,0.08676354935064572,0.6691413016580054,0.720613709477852,0.0,2ZUSDT
S06_compress_vol,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AEROUSDT
S06_compress_vol,big_B_24h,0.5768875192604006,1.0666650231124808,0.3683502478188681,1.7306625577812018,2.019106317411402,0.0,AEROUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AEROUSDT
S07_compress_oi,big_B_24h,0.7691833590138675,0.1793735593220339,0.1549436971096913,0.4615100154083205,0.615346687211094,1.0,AEROUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,AEROUSDT
S01_fund_high,big_B_24h,,,,,,,AEROUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AEROUSDT
S03_oi_surge,big_B_24h,1.0473382268491407,0.9543720580626455,0.049147739928379036,1.0303083369816748,1.0559383212322107,0.0,AEROUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AEROUSDT
S09_stall_fund,big_B_24h,1.1285098916918785,0.826540856792595,0.07830079116501173,0.9432321482797791,0.993930876249817,1.0,AEROUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AEROUSDT
S10_thin_move,big_B_24h,0.453944277450807,0.5908084771022253,0.11198874224747847,0.7944024855389122,0.8322311753264796,0.0,AEROUSDT
S06_compress_vol,big_A_k3.0_24h,,,,,,,AIXBTUSDT
S06_compress_vol,big_B_24h,,,,,,,AIXBTUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AIXBTUSDT
