symbol,state,target,variant,nS_test,p0_test,pS_test,uplift_test
1000TURBOUSDT,S03_oi_surge,big_B_24h,normal,243,0.3348023504273504,0.3004115226337449,0.8972802080101643
1000TURBOUSDT,S03_oi_surge,big_B_24h,leaked,243,0.3348023504273504,0.3004115226337449,0.8972802080101643
1000TURBOUSDT,S07_compress_oi,big_A_k3.0_24h,normal,49,0.0,0.0,0.0
1000TURBOUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,49,0.0,0.0,0.0
1000TURBOUSDT,S07_compress_oi,big_B_24h,normal,49,0.3348023504273504,0.6326530612244898,1.889631480833259
1000TURBOUSDT,S07_compress_oi,big_B_24h,leaked,49,0.3348023504273504,0.6122448979591837,1.8286756266128312
1000TURBOUSDT,S08_stall_oi,big_A_k3.0_24h,normal,25,0.0,0.0,0.0
1000TURBOUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,29,0.0,0.0,0.0
1000TURBOUSDT,S08_stall_oi,big_B_24h,normal,25,0.3348023504273504,0.36,1.0752612684483447
1000TURBOUSDT,S08_stall_oi,big_B_24h,leaked,29,0.3348023504273504,0.3448275862068966,1.0299437437244683
2ZUSDT,S03_oi_surge,big_A_k3.0_24h,normal,189,0.0,0.0,0.0
2ZUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,189,0.0,0.0,0.0
2ZUSDT,S03_oi_surge,big_B_24h,normal,189,0.359775641025641,0.42857142857142855,1.191218580973592
2ZUSDT,S03_oi_surge,big_B_24h,leaked,189,0.359775641025641,0.42857142857142855,1.191218580973592
2ZUSDT,S07_compress_oi,big_A_k3.0_24h,normal,38,0.0,0.0,0.0
2ZUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,41,0.0,0.0,0.0
2ZUSDT,S07_compress_oi,big_B_24h,normal,38,0.359775641025641,0.8157894736842105,2.2674950181690305
2ZUSDT,S07_compress_oi,big_B_24h,leaked,41,0.359775641025641,0.8048780487804879,2.2371666032918682
2ZUSDT,S08_stall_oi,big_A_k3.0_24h,normal,32,0.0,0.0,0.0
2ZUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,31,0.0,0.0,0.0
2ZUSDT,S08_stall_oi,big_B_24h,normal,32,0.359775641025641,0.53125,1.4766146993318485
2ZUSDT,S08_stall_oi,big_B_24h,leaked,31,0.359775641025641,0.5806451612903226,1.6139090451900282
AEROUSDT,S03_oi_surge,big_A_k3.0_24h,normal,271,0.0,0.0,0.0
AEROUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,271,0.0,0.0,0.0
AEROUSDT,S03_oi_surge,big_B_24h,normal,271,0.43336004273504275,0.45387453874538747,1.0473382268491407
AEROUSDT,S03_oi_surge,big_B_24h,leaked,271,0.43336004273504275,0.44649446494464945,1.0303083369816748
AEROUSDT,S07_compress_oi,big_A_k3.0_24h,normal,15,0.0,0.0,0.0
AEROUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,16,0.0,0.0,0.0
AEROUSDT,S07_compress_oi,big_B_24h,normal,15,0.43336004273504275,0.3333333333333333,0.7691833590138675
AEROUSDT,S07_compress_oi,big_B_24h,leaked,16,0.43336004273504275,0.3125,0.7211093990755008
AEROUSDT,S08_stall_oi,big_A_k3.0_24h,normal,57,0.0,0.0,0.0
