state,n_signals,breach_rate_atr,pct_0-1h,pct_1-3h,pct_3-6h,pct_6-12h,pct_12-24h,median_min_atr,p25_min_atr,p75_min_atr,pct_up_at_breach,pct_down_at_breach
S06_compress_vol,1300,0.0,,,,,,,,,,
S07_compress_oi,1873,0.030966364121729845,0.0,0.0,0.017241379310344827,0.5344827586206896,0.4482758620689655,610.0,558.25,1273.75,1.0,0.0
S03_oi_surge,12517,0.018854358073020692,0.00847457627118644,0.0,0.0847457627118644,0.15254237288135594,0.7372881355932204,947.5,757.0,1374.5,0.9576271186440678,0.0423728813559322
S09_stall_fund,4815,0.009345794392523364,0.0,0.35555555555555557,0.06666666666666667,0.13333333333333333,0.4444444444444444,548.0,135.0,1387.0,0.8888888888888888,0.1111111111111111
S10_thin_move,4544,0.009242957746478873,0.0,0.0,0.023809523809523808,0.2857142857142857,0.6904761904761905,989.5,638.75,1067.75,1.0,0.0
S01_fund_high,4893,0.03229102799918251,0.0,0.0,0.0,0.3037974683544304,0.689873417721519,976.5,633.25,1391.75,0.8417721518987342,0.15822784810126583
