target,base_rate,n,n_pos,auc_oos,q5_q1,q1_rate,q5_rate,coef_breadth_extreme,coef_entropy,coef_pca_var1,coef_crowd_fund,coef_crowd_oi
"3x ATR, >=90% coins",0.8716306988709447,69862,60880,0.43361021796336413,0.8197311569851176,0.7453927357309,0.6110216496689926,1.6597977809198887,-3.771478608726673,-1.4056806001731295,-0.5987874617504901,-3.2661050256333297
"3x ATR, >=95% coins",0.8522366728597971,69862,59523,0.43869392393014955,0.808258064516129,0.6933261764179639,0.5603864734299517,0.8361477426012363,-2.753429323292805,-0.8195257386959797,-0.20174938287275448,-3.964485761955581
"5x ATR, >=90% coins",0.835100757467486,69862,58324,0.4608443517346352,0.8526170798898072,0.6494900697799249,0.5537663267131866,-0.5518327385431978,-0.26214291755567315,-0.032920756926739424,-1.4149384536520382,-9.441661826500319
"5x ATR, >=95% coins",0.7030012862655424,69862,49081,0.5226211639795075,1.1594202898550725,0.30864197530864196,0.3578457684737878,-0.3696848281510138,-0.09735780384662036,-0.3476830263460661,-1.5467082004879928,-9.587807735985132
"8x ATR, >=80% coins",0.8061597827640418,69862,56305,0.5978126439626501,1.2985754985754985,0.6280193236714976,0.8155305063517624,-0.16161789715392536,-0.18648710958279116,-0.582381386777049,-1.924650015790411,-8.017428440104018
"8x ATR, >=90% coins",0.5467628983850221,69862,38167,0.5228779441349358,1.1774081774081775,0.2581857219538379,0.30398998031848273,-0.13538098932243317,-0.07311140830713356,-0.6089419047280765,-1.6515767153808814,-7.174081218855163
"8x ATR, >=95% coins",0.33760182935543803,69862,23548,0.5565476417104058,1.9359605911330047,0.03632134550008946,0.0703166935050993,-0.2695138703030393,0.03068233433797384,-0.4078044016997759,-0.9866092602144307,-6.8590210317381475
