feature,target,mean_oos,pct_positive,n_folds,snr,metric
ew_wave_symmetry,tgt_ret_sign_1,0.04445137375895308,1.0,2,4.243084135074009,AUC_dev
support_touches_20,tgt_ret_sign_1,0.04324425233175211,1.0,2,2.856235684601765,AUC_dev
atr_percentile_5_z,tgt_ret_sign_1,0.04297470384318597,1.0,2,94.02944767855062,AUC_dev
volume_skewness,tgt_ret_sign_1,0.03925012230848651,1.0,2,3.4272853373949372,AUC_dev
median_trade_size,tgt_ret_sign_1,0.038267215802007204,1.0,2,1.3020126344943055,AUC_dev
fib_wave_ratio_pct,tgt_ret_sign_1,0.03776596385316994,1.0,2,1.2610958272443444,AUC_dev
auction_clearing_speed_z,tgt_ret_sign_1,0.037611157441132026,1.0,2,7.738429659378533,AUC_dev
large_buy_pct,tgt_ret_sign_1,0.037600904501367605,1.0,2,2.8287732892267767,AUC_dev
breakout_down_bps_10_z,tgt_ret_sign_1,0.03658444881857059,1.0,2,92.40685133583612,AUC_dev
mi_side_return,tgt_ret_sign_1,0.0347490038814775,1.0,2,4.843920512931872,AUC_dev
breakout_vol_confirm_20_z,tgt_ret_sign_1,0.03137116638688686,1.0,2,3.3102559537667324,AUC_dev
fvg_bearish_count_10,tgt_ret_sign_1,0.029784997670116775,1.0,2,1.2676414670170824,AUC_dev
quartile_count_ratio_z,tgt_ret_sign_1,0.029628581935887854,1.0,2,1.9638071250260174,AUC_dev
lower_wick_rejection_z,tgt_ret_sign_1,0.02925830804793994,1.0,2,1.3699864847783596,AUC_dev
max_sell_run,tgt_ret_sign_1,0.0268762127021413,1.0,2,5.399663114418507,AUC_dev
inside_bar,tgt_ret_sign_1,0.026323994557791497,1.0,2,26.255527364987877,AUC_dev
fib_updown_wave_ratio_z,tgt_ret_sign_1,0.026283475978114867,1.0,2,1.7741025546684381,AUC_dev
hh_count_5_z,tgt_ret_sign_1,0.026002324795688758,1.0,2,1.1835818541319447,AUC_dev
consecutive_direction_z,tgt_ret_sign_1,0.02596977495653796,1.0,2,4.6502741129963905,AUC_dev
ofi_field_gradient_z,tgt_ret_sign_1,0.025732932047979773,1.0,2,5.71598660047622,AUC_dev
session_us,tgt_ret_sign_1,0.024132097733825242,1.0,2,70.742809313649,AUC_dev
liq_void_any,tgt_ret_sign_1,0.023332082907295548,1.0,2,4.080499530158347,AUC_dev
liq_void_down_bps,tgt_ret_sign_1,0.023246269694988886,1.0,2,4.383691390475639,AUC_dev
ew_correction_quality_z,tgt_ret_sign_1,0.02313802979924795,1.0,2,2.300014191167921,AUC_dev
liq_pool_below_10,tgt_ret_sign_1,0.022672728031609968,1.0,2,5.284556141061965,AUC_dev
range,tgt_ret_sign_1,0.02244015501821961,1.0,2,2.462799581803321,AUC_dev
failed_breakout_up_10,tgt_ret_sign_1,0.02214910131295772,1.0,2,4.943892744991269,AUC_dev
liq_pool_below_20,tgt_ret_sign_1,0.02210040633827909,1.0,2,1.1548352444274423,AUC_dev
near_resistance_10,tgt_ret_sign_1,0.021208218881107854,1.0,2,1.382814377540764,AUC_dev
fib_wave_avg_dist_z,tgt_ret_sign_1,0.0206577787782109,1.0,2,6.323713568318433,AUC_dev
ofi_second_half,tgt_ret_sign_1,0.020654456306591018,1.0,2,2.696455438834294,AUC_dev
ew_first_wave_pct,tgt_ret_sign_3,0.05943972323619989,1.0,2,2.1315730319637924,AUC_dev
predator_follows_prey,tgt_ret_sign_3,0.058944673882416476,1.0,2,10.453453062347334,AUC_dev
consecutive_direction_z,tgt_ret_sign_3,0.04976154024142021,1.0,2,4.95835913568209,AUC_dev
donchian_width_bps_10_z,tgt_ret_sign_3,0.04694131891984982,1.0,2,3.9977928707932167,AUC_dev
taylor_vol_a1,tgt_ret_sign_3,0.04370966275480842,1.0,2,1.8564265475587167,AUC_dev
value_area_overlap_pct_z,tgt_ret_sign_3,0.04295204032611871,1.0,2,1.6644681666166237,AUC_dev
fib_updown_golden_dist_z,tgt_ret_sign_3,0.04097883559713922,1.0,2,2.0220954599510432,AUC_dev
trade_pct_q3,tgt_ret_sign_3,0.04021925888061595,1.0,2,1.8076528635878752,AUC_dev
