target,fold,score,n_train,n_test
tgt_crash_3,0,0.16207687894434875,720,270
tgt_crash_3,1,0.25450980392156863,990,270
tgt_crash_3,2,0.27607669194448414,1260,270
tgt_crash_3,3,0.1293877551020408,1530,270
tgt_crash_3,4,0.1762526464361327,1800,270
tgt_crash_5,0,0.11568389057750761,720,270
tgt_crash_5,1,0.18676686217008798,990,270
tgt_crash_5,2,0.2115773777825114,1260,270
tgt_crash_5,3,0.135565052231719,1530,270
tgt_crash_5,4,0.18373575691806832,1800,270
tgt_fill_prob_long_1,0,,720,270
tgt_fill_prob_long_1,1,0.4962825278810409,990,270
tgt_fill_prob_long_1,2,0.5,1260,270
tgt_fill_prob_long_1,3,0.38619402985074625,1530,270
tgt_fill_prob_long_1,4,,1800,270
tgt_fill_prob_long_3,0,,720,270
tgt_fill_prob_long_3,1,0.5,990,270
tgt_fill_prob_long_3,2,,1260,270
tgt_fill_prob_long_3,3,0.4328358208955224,1530,270
tgt_fill_prob_long_3,4,,1800,270
tgt_fill_prob_long_5,0,,720,270
tgt_fill_prob_long_5,1,0.4776951672862454,990,270
tgt_fill_prob_long_5,2,,1260,270
tgt_fill_prob_long_5,3,0.5,1530,270
tgt_fill_prob_long_5,4,,1800,270
tgt_fill_prob_short_1,0,0.41078066914498146,720,270
tgt_fill_prob_short_1,1,0.4720149253731343,990,270
tgt_fill_prob_short_1,2,,1260,270
tgt_fill_prob_short_1,3,0.4776951672862454,1530,270
tgt_fill_prob_short_1,4,0.48884758364312264,1800,270
tgt_fill_prob_short_3,0,,720,270
tgt_fill_prob_short_3,1,0.49067164179104483,990,270
tgt_fill_prob_short_3,2,,1260,270
tgt_fill_prob_short_3,3,0.4851301115241635,1530,270
tgt_fill_prob_short_3,4,,1800,270
tgt_fill_prob_short_5,0,,720,270
tgt_fill_prob_short_5,1,0.49067164179104483,990,270
tgt_fill_prob_short_5,2,,1260,270
tgt_fill_prob_short_5,3,0.4851301115241635,1530,270
tgt_fill_prob_short_5,4,,1800,270
tgt_liquidation_cascade_3,0,0.1271020408163266,720,270
tgt_liquidation_cascade_3,1,0.17367779301935682,990,270
tgt_liquidation_cascade_3,2,0.37607843137254904,1260,270
tgt_liquidation_cascade_3,3,0.13333920084492168,1530,270
tgt_liquidation_cascade_3,4,0.14782608695652166,1800,270
tgt_liquidation_cascade_5,0,0.14152173913043475,720,270
tgt_liquidation_cascade_5,1,0.12626164596273293,990,270
tgt_liquidation_cascade_5,2,0.27722222222222226,1260,270
tgt_liquidation_cascade_5,3,0.07789119591694704,1530,270
tgt_liquidation_cascade_5,4,0.12763647642679898,1800,270
tgt_mean_reversion_10,0,,720,270
tgt_mean_reversion_10,1,0.4720149253731343,990,270
tgt_mean_reversion_10,2,,1260,270
tgt_mean_reversion_10,3,0.48884758364312264,1530,270
tgt_mean_reversion_10,4,,1800,270
tgt_mean_reversion_5,0,,720,270
tgt_mean_reversion_5,1,0.4712858926342073,990,270
tgt_mean_reversion_5,2,,1260,270
tgt_mean_reversion_5,3,0.4197761194029851,1530,270
tgt_mean_reversion_5,4,,1800,270
tgt_mid_reversion_1,0,0.46654275092936803,720,270
tgt_mid_reversion_1,1,-0.19038701622971282,990,270
tgt_mid_reversion_1,2,0.4851301115241635,1260,270
tgt_mid_reversion_1,3,0.1179775280898876,1530,270
tgt_mid_reversion_1,4,0.258364312267658,1800,270
tgt_mid_reversion_3,0,,720,270
tgt_mid_reversion_3,1,0.4126092384519351,990,270
tgt_mid_reversion_3,2,,1260,270
tgt_mid_reversion_3,3,0.3951310861423222,1530,270
tgt_mid_reversion_3,4,,1800,270
tgt_profitable_long_1,0,0.20751561106155214,720,270
tgt_profitable_long_1,1,0.20714442493415264,990,270
tgt_profitable_long_1,2,0.19699822773593267,1260,270
tgt_profitable_long_1,3,0.17867538030644192,1530,270
tgt_profitable_long_1,4,0.19610704256373546,1800,270
tgt_profitable_long_10,0,0.1569266460450729,720,270
tgt_profitable_long_10,1,0.10090006036990284,990,270
tgt_profitable_long_10,2,0.06634701159678857,1260,270
tgt_profitable_long_10,3,0.06966666666666665,1530,270
tgt_profitable_long_10,4,0.12926437704260074,1800,270
tgt_profitable_long_3,0,0.14100575985821884,720,270
tgt_profitable_long_3,1,0.09899999999999987,990,270
tgt_profitable_long_3,2,0.15223440369525287,1260,270
tgt_profitable_long_3,3,0.1291335978835979,1530,270
tgt_profitable_long_3,4,0.18259479717813043,1800,270
tgt_profitable_long_5,0,0.11392717886759296,720,270
tgt_profitable_long_5,1,0.12359396433470504,990,270
tgt_profitable_long_5,2,0.10046833184656556,1260,270
tgt_profitable_long_5,3,0.14057666813963765,1530,270
tgt_profitable_long_5,4,0.15349018733273867,1800,270
tgt_profitable_short_1,0,0.22106481481481477,720,270
tgt_profitable_short_1,1,0.2169168178569465,990,270
tgt_profitable_short_1,2,0.24002007136485282,1260,270
tgt_profitable_short_1,3,0.19507243195785784,1530,270
tgt_profitable_short_1,4,0.21373626373626375,1800,270
tgt_profitable_short_10,0,0.1557793103448275,720,270
tgt_profitable_short_10,1,0.10935441370223986,990,270
tgt_profitable_short_10,2,0.0665142729705619,1260,270
tgt_profitable_short_10,3,0.05560485883853794,1530,270
tgt_profitable_short_10,4,0.13350725302448252,1800,270
tgt_profitable_short_3,0,0.15194647871813238,720,270
tgt_profitable_short_3,1,0.11257277205553062,990,270
tgt_profitable_short_3,2,0.14421338155515373,1260,270
tgt_profitable_short_3,3,0.11665568730786124,1530,270
tgt_profitable_short_3,4,0.18298855633802813,1800,270
tgt_profitable_short_5,0,0.11012949956101836,720,270
tgt_profitable_short_5,1,0.1241684534608829,990,270
tgt_profitable_short_5,2,0.08879392212725545,1260,270
tgt_profitable_short_5,3,0.14610890652557318,1530,270
tgt_profitable_short_5,4,0.13980254035165562,1800,270
tgt_regime_change_10,0,0.1627222222222222,720,270
tgt_regime_change_10,1,0.18987586206896545,990,270
tgt_regime_change_10,2,0.30483880579226497,1260,270
tgt_regime_change_10,3,0.21672437883482176,1530,270
tgt_regime_change_10,4,0.3103932584269662,1800,270
tgt_regime_change_5,0,0.13516666666666666,720,270
tgt_regime_change_5,1,0.027428032614121634,990,270
tgt_regime_change_5,2,0.039214550509731216,1260,270
tgt_regime_change_5,3,0.04153828265798498,1530,270
tgt_regime_change_5,4,0.17014506048965095,1800,270
tgt_relative_ret_1,0,0.09565926071560393,720,270
tgt_relative_ret_1,1,0.16611800093334195,990,270
tgt_relative_ret_1,2,0.13928269047183428,1260,270
tgt_relative_ret_1,3,0.06041402705682153,1530,270
tgt_relative_ret_1,4,0.17627483202866423,1800,270
tgt_relative_ret_5,0,0.06524140718967364,720,270
tgt_relative_ret_5,1,0.04112391129967741,990,270
tgt_relative_ret_5,2,0.016982906696692,1260,270
tgt_relative_ret_5,3,0.015496206132510792,1530,270
tgt_relative_ret_5,4,0.022197857720172243,1800,270
tgt_ret_sign_1,0,0.2659881302346221,720,270
tgt_ret_sign_1,1,,990,270
tgt_ret_sign_1,2,,1260,270
tgt_ret_sign_1,3,,1530,270
tgt_ret_sign_1,4,,1800,270
tgt_ret_sign_10,0,0.1289875941515285,720,270
tgt_ret_sign_10,1,,990,270
tgt_ret_sign_10,2,,1260,270
tgt_ret_sign_10,3,,1530,270
tgt_ret_sign_10,4,,1800,270
tgt_ret_sign_3,0,0.12427200621221368,720,270
tgt_ret_sign_3,1,,990,270
tgt_ret_sign_3,2,,1260,270
tgt_ret_sign_3,3,,1530,270
tgt_ret_sign_3,4,,1800,270
tgt_ret_sign_5,0,0.17729768705973714,720,270
tgt_ret_sign_5,1,,990,270
tgt_ret_sign_5,2,,1260,270
tgt_ret_sign_5,3,,1530,270
tgt_ret_sign_5,4,,1800,270
tgt_tail_event_1,0,0.11348386409628297,720,270
tgt_tail_event_1,1,0.10555832502492513,990,270
tgt_tail_event_1,2,0.14703360768175577,1260,270
tgt_tail_event_1,3,0.1966366966366967,1530,270
tgt_tail_event_1,4,0.14767113620324623,1800,270
tgt_tail_event_3,0,0.13416959656754657,720,270
tgt_tail_event_3,1,0.21440436639772187,990,270
tgt_tail_event_3,2,0.1801276408450705,1260,270
tgt_tail_event_3,3,0.22693228559150347,1530,270
tgt_tail_event_3,4,0.1928267241856091,1800,270
tgt_tail_event_5,0,0.21843593827228291,720,270
tgt_tail_event_5,1,0.25039859255594044,990,270
tgt_tail_event_5,2,0.257812038513793,1260,270
tgt_tail_event_5,3,0.22446896551724138,1530,270
tgt_tail_event_5,4,0.21400722435640163,1800,270
tgt_vol_expansion_10,0,0.3037939713917368,720,270
tgt_vol_expansion_10,1,0.35487185686653777,990,270
tgt_vol_expansion_10,2,0.36165048543689315,1260,270
tgt_vol_expansion_10,3,0.36043739943984265,1530,270
tgt_vol_expansion_10,4,0.29044397463002114,1800,270
tgt_vol_expansion_5,0,0.23376980633802802,720,270
tgt_vol_expansion_5,1,0.23778609154929575,990,270
tgt_vol_expansion_5,2,0.21375007323217532,1260,270
tgt_vol_expansion_5,3,0.23283950617283955,1530,270
tgt_vol_expansion_5,4,0.16911764705882348,1800,270
