feature,target,is_binary,mean_oos,std_oos,snr,pct_positive,n_folds,metric
is_swing_low,tgt_ret_1,False,0.05661217416220883,0.02814725181764108,2.0112860228410496,1.0,5,R2
is_swing_high,tgt_ret_1,False,0.04589729490306271,0.02665817196635306,1.7216970076189975,1.0,5,R2
close,tgt_ret_1,False,-0.0029558343598647062,0.004630827657861699,0.6382950475055195,0.4,5,R2
avg_buy_size,tgt_ret_1,False,-0.0029904281985553725,0.0013948779077270104,2.143863761831566,0.0,5,R2
market_pressure,tgt_ret_1,False,-0.003423381695009775,0.008204867491743947,0.41723790158153234,0.4,5,R2
hilbert_std_amplitude,tgt_ret_1,False,-0.007653153316228556,0.004037075484188029,1.895717171057014,0.0,5,R2
trade_size_p25,tgt_ret_1,False,-0.005252355356728922,0.002055362137734287,2.555440357833397,0.0,5,R2
atr_percentile_14,tgt_ret_1,False,-0.0028229523102666354,0.006532873999193856,0.43211491766334115,0.6,5,R2
fvg_bearish_count_10,tgt_ret_1,False,-0.004095658021027182,0.0015271699363300533,2.6818613460067646,0.0,5,R2
atr_percentile_14_z,tgt_ret_1,False,-0.0058379757902445205,0.004250078830677355,1.3736158840409307,0.0,5,R2
donchian_width_bps_10_z,tgt_ret_1,False,-0.004016145172094943,0.0015796502289191316,2.542426860434143,0.0,5,R2
golden_ratio_half_dist,tgt_ret_1,False,-0.004320106829274239,0.005296403707065812,0.8156679641906607,0.2,5,R2
fvg_bearish_size_bps_z,tgt_ret_1,False,-0.00909195653697421,0.01463245200666615,0.6213556369658455,0.4,5,R2
range_compression_10,tgt_ret_1,False,-0.004575232018139097,0.001883609979330407,2.428969939820301,0.0,5,R2
price_volume_angle_cos_z,tgt_ret_1,False,-0.0032266993110821483,0.006230007371495617,0.5179286505896261,0.4,5,R2
busiest_quartile,tgt_ret_1,False,-0.0027757437507135,0.01087429900314904,0.25525725841359376,0.4,5,R2
breakout_down_count_10,tgt_ret_1,False,-0.004240277303639584,0.0026533685222596207,1.598073267270294,0.0,5,R2
vpin,tgt_ret_1,False,-0.006034669079099997,0.0023356835094469042,2.583684413873788,0.0,5,R2
aggression_imbalance,tgt_ret_1,False,-0.0041887332336631115,0.0019994857299133776,2.094905290394134,0.0,5,R2
max_monotonic_run,tgt_ret_1,False,-0.004275675042662019,0.001016564044577541,4.206006562467872,0.0,5,R2
trade_size_p75,tgt_ret_1,False,-0.005654209950797506,0.004559016803261031,1.2402257317308176,0.0,5,R2
session_asia,tgt_ret_1,False,-0.006414099748466873,0.00703627604440917,0.9115759114600598,0.0,5,R2
area_above_vwap_pct_z,tgt_ret_1,False,-0.005090393490782508,0.00611018669033353,0.833099502317276,0.2,5,R2
hour_cos,tgt_ret_1,False,-0.004279517478923545,0.002143142103726185,1.9968426132279984,0.0,5,R2
consecutive_direction_z,tgt_ret_1,False,-0.0031264268579933364,0.0061732462985263385,0.5064477759035256,0.6,5,R2
size_gini_z,tgt_ret_1,False,-0.004457427148527993,0.0019345168948258055,2.3041551926737576,0.0,5,R2
engulfing_bearish,tgt_ret_1,False,-0.005125193525127125,0.0038694076601138447,1.3245421458064548,0.0,5,R2
fomo_buy_ratio,tgt_ret_1,False,-0.0034144813467413384,0.001959492531991851,1.7425334830291348,0.0,5,R2
liq_pool_above_20,tgt_ret_1,False,-0.0024060450727608094,0.0008530537443327624,2.820508190422115,0.0,5,R2
fib_time_vol_pct,tgt_ret_1,False,-0.007341690307840265,0.0045989081790241216,1.5963985411420316,0.0,5,R2
vol_price_feedback,tgt_ret_1,False,-0.004951194952452731,0.004276300541606711,1.1578220249675075,0.0,5,R2
taylor_asymmetry_curvature_ratio,tgt_ret_1,False,-0.004045497842548507,0.0012510312307207712,3.2337304962544597,0.0,5,R2
large_buy_pct,tgt_ret_1,False,-0.00385088285692472,0.002214354224245816,1.7390545806808697,0.0,5,R2
hh_streak_z,tgt_ret_1,False,-0.003592538205314,0.003639439779641337,0.9871129687075192,0.2,5,R2
failed_breakout_down_5,tgt_ret_1,False,-0.005376545885785245,0.0033162172271900487,1.621288811149741,0.0,5,R2
permutation_entropy,tgt_ret_1,False,-0.004539115717778852,0.003275124501604035,1.3859368447079676,0.0,5,R2
volume_skewness,tgt_ret_1,False,-0.004559748303931665,0.004845136563052904,0.94109799478151,0.2,5,R2
hilbert_std_freq,tgt_ret_1,False,-0.005722816060798675,0.0066246072149265265,0.8638725097397562,0.4,5,R2
first_half_return_z,tgt_ret_1,False,-0.004208640399897878,0.003926211078065987,1.0719343194281377,0.2,5,R2
support_touches_20,tgt_ret_1,False,-0.004552729238847064,0.0036824970638670834,1.2363157824397903,0.2,5,R2
hour_sin,tgt_ret_1,False,-0.007122329212947065,0.005750947287966802,1.2384619187607098,0.0,5,R2
dist_to_pivot_bps_z,tgt_ret_1,False,-0.004896772218541301,0.004755284129893282,1.0297538663901444,0.2,5,R2
gap_abs_bps,tgt_ret_1,False,-0.0036291102950687824,0.004704397397487528,0.7714293645785488,0.2,5,R2
session_us,tgt_ret_1,False,-0.005473271589408801,0.001677474695266537,3.2628042645609883,0.0,5,R2
vol_price_feedback_z,tgt_ret_1,False,-0.0049135271702978045,0.0015897916825800826,3.090673592104603,0.0,5,R2
vol_asymmetry,tgt_ret_1,False,-0.004757609742210711,0.003064491415271663,1.552495699123685,0.0,5,R2
ew_impulse_detected,tgt_ret_1,False,-0.007092755608552848,0.01147272388881166,0.618227691809945,0.4,5,R2
turbulence,tgt_ret_1,False,-0.005589192430322809,0.0034718169239950124,1.6098753340632193,0.0,5,R2
