cluster,size,representative,composite,n_targets,members
63,7,twap_vwap_spread_bps_z,0.06412368317550148,3,"twap_vwap_spread_bps_z, signed_area_bps_z, area_above_vwap_pct_z, area_above_vwap_pct, signed_area, signed_area_bps, twap_vwap_spread_bps"
74,2,micro_fear_score_z,0.06403077972328873,3,"micro_fear_score_z, micro_fear_score"
194,2,stackelberg_buy_leader_z,0.06327340207077647,4,"stackelberg_buy_leader_z, fractal_dimension_z"
188,2,range_compression_10,0.06300770412493764,3,"range_compression_10, range_compression_10_z"
84,1,breakout_up_bps_5_z,0.06128108837294533,3,breakout_up_bps_5_z
86,3,breakout_down_bps_10_z,0.06088730040009593,3,"breakout_down_bps_10_z, breakout_down_bps_20_z, breakout_down_bps_5_z"
170,1,shock_attention_ratio,0.059721292912909736,5,shock_attention_ratio
189,1,donchian_width_bps_10_z,0.059533056238926726,2,donchian_width_bps_10_z
93,2,failed_breakout_down_5,0.05941062869090171,2,"failed_breakout_down_5, failed_breakout_down_10"
104,2,breakout_down_count_10,0.05932606808375812,3,"breakout_down_count_10, support_touches_10"
81,21,dist_to_s1_bps,0.05901370751255835,1,"dist_to_s1_bps, dist_to_s1_bps_z, ew_net_direction, close_vs_prev_poc_bps_z, ew_net_direction_z, close_vs_prev_fair_value_bps, close_vs_prev_poc_bps, close_vs_prev_fair_value_bps_z, drawdown_drawup_asymmetry, dist_to_pivot_bps, price_slope_angle, return, drift_from_open_bps, market_momentum_z, drawdown_drawup_asymmetry_z, market_momentum, drift_from_open_bps_z, return_z, price_slope_angle_z, dist_to_pivot_bps_z, dist_to_r1_bps"
78,16,large_buy_pct,0.05901126173171584,4,"large_buy_pct, order_flow_imbalance_z, buy_sell_volume_ratio, order_flow_imbalance, cvd_final_z, market_impulse_z, net_volume_delta_z, flow_velocity_z, cvd_final, net_volume_delta, market_impulse, cvd_min_z, flow_velocity, golden_ratio_bs_dist_z, cvd_min, golden_ratio_bs_dist"
185,1,contrarian_ratio_z,0.05899513496446093,4,contrarian_ratio_z
55,2,choch_net,0.05868960242627641,2,"choch_net, choch_bullish"
