feature,target,is_binary,mean_oos,std_oos,snr,pct_positive,n_folds,metric
is_swing_low,tgt_ret_1,False,0.06894734527440988,0.035684406494620305,1.932142132861428,0.9,10,R2
is_swing_high,tgt_ret_1,False,0.04740043905776255,0.03492851616376579,1.35706993207272,0.9,10,R2
close,tgt_ret_1,False,-0.026565046668785453,0.0531068288722432,0.5002190345933069,0.4,10,R2
avg_buy_size,tgt_ret_1,False,-0.0025379344263235957,0.0056350498235696565,0.4503836710916392,0.5,10,R2
fvg_bearish_count_10,tgt_ret_1,False,-0.0035080459660577824,0.007076805732948903,0.4957103668572771,0.3,10,R2
hilbert_std_amplitude,tgt_ret_1,False,-0.008204428049259294,0.01637150874761856,0.5011406203141009,0.3,10,R2
market_pressure,tgt_ret_1,False,-0.005145375296349441,0.007281565607629777,0.7066303558341916,0.3,10,R2
trade_size_p25,tgt_ret_1,False,-0.04329058282093292,0.11141766564110331,0.38854325812550955,0.1,10,R2
golden_ratio_half_dist_z,tgt_ret_1,False,-0.0013877009844779908,0.015001335470760034,0.09250516310250101,0.4,10,R2
price_volume_angle_cos_z,tgt_ret_1,False,-0.00587186485272313,0.012949425715480188,0.453445966001697,0.3,10,R2
vpin,tgt_ret_1,False,-0.009712838993363958,0.013083945047032444,0.7423478896043604,0.1,10,R2
max_monotonic_run,tgt_ret_1,False,-0.009678369832145085,0.010988820858884113,0.880746893268392,0.2,10,R2
busiest_quartile,tgt_ret_1,False,-0.007019139103732419,0.009854370267644014,0.712286925809878,0.3,10,R2
consecutive_direction_z,tgt_ret_1,False,-0.004721456806076429,0.012128956476615802,0.3892714773261187,0.3,10,R2
support_touches_10,tgt_ret_1,False,-0.01003067420297028,0.009530593741293553,1.0524710710844813,0.1,10,R2
vol_price_feedback,tgt_ret_1,False,-0.005293592093480182,0.014293870997246756,0.37033999358884784,0.3,10,R2
near_support_20,tgt_ret_1,False,-0.009750493028862994,0.009350155593755684,1.0428161254743897,0.2,10,R2
dist_to_s1_bps,tgt_ret_1,False,-0.006960084056558569,0.00784554493308447,0.8871383843852663,0.1,10,R2
donchian_mid_dist_bps_20,tgt_ret_1,False,-0.006715140576654221,0.012736312656152975,0.5272436974456735,0.2,10,R2
failed_breakout_down_10,tgt_ret_1,False,-0.0038901898512704314,0.005004577270141883,0.777326363703071,0.2,10,R2
gap_abs_bps,tgt_ret_1,False,-0.0051739224497397655,0.00506639784363373,1.0212230877685904,0.1,10,R2
vol_asymmetry_z,tgt_ret_1,False,-0.007191777996525506,0.007029048087441064,1.0231510592985122,0.0,10,R2
uptick_pct,tgt_ret_1,False,-0.004983647692420901,0.007582581883912724,0.6572494394019344,0.2,10,R2
hour_cos,tgt_ret_1,False,-0.0034498890180475472,0.007037707351948272,0.49020069257248994,0.3,10,R2
hh_streak_z,tgt_ret_1,False,-0.0016448214027189102,0.008391428875129649,0.19601207698891418,0.5,10,R2
aggression_imbalance_z,tgt_ret_1,False,-0.006126666005561998,0.005686623410683248,1.077382053127003,0.0,10,R2
ew_impulse_detected,tgt_ret_1,False,-0.007206817049532544,0.01022958479897966,0.7045072885315327,0.3,10,R2
volume_autocorr,tgt_ret_1,False,-0.011938504015829576,0.011996752318671986,0.9951446607135708,0.1,10,R2
higher_low,tgt_ret_1,False,-0.007462754449459541,0.005561710343775023,1.3418092615722559,0.1,10,R2
