target,fold,score,n_train,n_test
tgt_crash_10,4,0.25750561167227837,1800,270
tgt_crash_3,0,0.20250984251968507,720,270
tgt_crash_3,1,0.2943805874840357,990,270
tgt_crash_3,2,0.2142857142857143,1260,270
tgt_crash_3,3,0.2236601307189543,1530,270
tgt_crash_3,4,0.15210027100270995,1800,270
tgt_crash_5,0,0.1855510204081633,720,270
tgt_crash_5,1,0.3278958395689914,990,270
tgt_crash_5,2,0.2065657454673473,1260,270
tgt_crash_5,3,0.24359999999999993,1530,270
tgt_crash_5,4,0.19017515369446703,1800,270
tgt_fill_prob_long_1,0,,720,270
tgt_fill_prob_long_1,1,0.4962825278810409,990,270
tgt_fill_prob_long_1,2,0.5,1260,270
tgt_fill_prob_long_1,3,,1530,270
tgt_fill_prob_long_1,4,,1800,270
tgt_fill_prob_long_3,0,,720,270
tgt_fill_prob_long_3,1,0.5,990,270
tgt_fill_prob_long_3,2,,1260,270
tgt_fill_prob_long_3,3,,1530,270
tgt_fill_prob_long_3,4,,1800,270
tgt_fill_prob_short_1,0,0.5,720,270
tgt_fill_prob_short_1,1,0.5,990,270
tgt_fill_prob_short_1,2,0.4720149253731343,1260,270
tgt_fill_prob_short_1,3,,1530,270
tgt_fill_prob_short_1,4,,1800,270
tgt_fill_prob_short_3,0,0.5,720,270
tgt_fill_prob_short_3,1,0.5,990,270
tgt_fill_prob_short_3,2,0.49256505576208176,1260,270
tgt_fill_prob_short_3,3,,1530,270
tgt_fill_prob_short_3,4,,1800,270
tgt_fill_prob_short_5,0,0.5,720,270
tgt_fill_prob_short_5,1,0.5,990,270
tgt_fill_prob_short_5,2,0.49256505576208176,1260,270
tgt_fill_prob_short_5,3,,1530,270
tgt_fill_prob_short_5,4,,1800,270
tgt_liquidation_cascade_3,0,0.23720000000000008,720,270
tgt_liquidation_cascade_3,1,0.3406808035714286,990,270
tgt_liquidation_cascade_3,2,0.4213169642857143,1260,270
tgt_liquidation_cascade_3,3,0.20890748031496065,1530,270
tgt_liquidation_cascade_3,4,0.1739591836734694,1800,270
tgt_liquidation_cascade_5,0,0.17984883250101236,720,270
tgt_liquidation_cascade_5,1,0.2775039605703221,990,270
tgt_liquidation_cascade_5,2,0.23831300813008127,1260,270
tgt_liquidation_cascade_5,3,0.1862170087976539,1530,270
tgt_liquidation_cascade_5,4,0.11445652173913046,1800,270
tgt_mean_reversion_10,0,,720,270
tgt_mean_reversion_10,1,,990,270
tgt_mean_reversion_10,2,0.5,1260,270
