target,type,sol_score,xrp_score,doge_score,avg_score,n_positive,n_coins,status
tgt_best_short_entry_pct,continuous,0.5034329508223101,0.4814650042874637,0.5215332155766066,0.5021437235621268,3,3,UNIVERSAL
tgt_relative_ret_1,continuous,0.4217407682098047,0.42940251183896594,0.41204656134251244,0.421063280463761,3,3,UNIVERSAL
tgt_range_bps_1,continuous,0.391155965554804,0.5440604649120109,0.43324486989675154,0.45615376678785546,3,3,UNIVERSAL
tgt_fwd_spread_bps_3,continuous,0.3857307229275817,0.47109973843106484,0.4364848291898024,0.431105096849483,3,3,UNIVERSAL
tgt_consolidation_5,binary,0.3848865033508989,0.3706938774870568,0.3969287567672833,0.38416971253507964,3,3,UNIVERSAL
tgt_ret_risk_adj_1,continuous,0.3723564613277161,0.3916552433767997,0.4032332203450031,0.389081641683173,3,3,UNIVERSAL
tgt_consolidation_3,binary,0.3529586528422224,0.35271443615593107,0.34209610004430685,0.3492563963474868,3,3,UNIVERSAL
tgt_breakout_up_3,binary,0.3462867007989961,0.34373132901322023,0.32516051166823584,0.3383928471601507,3,3,UNIVERSAL
tgt_optimal_action_1,continuous,0.3428985233672812,0.3860257315736919,0.3453881756658163,0.3581041435355965,3,3,UNIVERSAL
tgt_breakout_down_3,binary,0.3267637732581727,0.32243731113008595,0.3065444120920888,0.3185818321601158,3,3,UNIVERSAL
tgt_vol_expansion_10,binary,0.3215792455902037,0.3110688863975791,0.3163795429260559,0.3163425583046129,3,3,UNIVERSAL
tgt_breakout_down_5,binary,0.2983105493030129,0.30581764898456126,0.29380300476970717,0.29931040101909373,3,3,UNIVERSAL
tgt_range_bps_3,continuous,0.2897972139060071,0.31626646708570855,0.3418221192526809,0.3159619334147989,3,3,UNIVERSAL
tgt_max_drawdown_long_3,continuous,0.2820558990888884,0.1399369030820055,0.14412192254572942,0.18870490823887442,3,3,UNIVERSAL
tgt_breakout_down_10,binary,0.2711380900067394,0.2704844090868165,0.2635141386260047,0.26837887923985354,3,3,UNIVERSAL
tgt_breakout_up_5,binary,0.2629928787504983,0.32331600183923254,0.30470519131626156,0.2970046906353308,3,3,UNIVERSAL
tgt_vol_regime_10,continuous,0.2609212200232839,0.08420587959193195,0.29028130398610635,0.2118028012004407,3,3,UNIVERSAL
tgt_max_drawup_long_3,continuous,0.2594746725554442,0.17890729596350072,0.2174001735746464,0.21859404736453045,3,3,UNIVERSAL
tgt_realized_vol_5,continuous,0.2578009399768048,0.3182004805801603,0.2919960961829665,0.2893325055799772,3,3,UNIVERSAL
tgt_breakout_up_10,binary,0.2539646160956594,0.2976017857223116,0.2858963006027328,0.2791542341402346,3,3,UNIVERSAL
tgt_inventory_cost_5,continuous,0.234187985635154,0.31020032508358897,0.2838800011042054,0.2760894372743161,3,3,UNIVERSAL
tgt_vol_expansion_5,binary,0.2326133632881368,0.22417550271420658,0.20904108437312405,0.22194331679182247,3,3,UNIVERSAL
tgt_vol_regime_5,continuous,0.2286931868872671,0.09324035369086663,0.1607463695103025,0.16089330336281207,3,3,UNIVERSAL
tgt_realized_vol_10,continuous,0.2236687337915333,0.3251552303041533,0.2497107711260327,0.2661782450739064,3,3,UNIVERSAL
tgt_crash_10,binary,0.2190844894169438,0.18939514099564134,0.18249944388367015,0.19699302476541844,3,3,UNIVERSAL
tgt_tail_event_5,binary,0.2190631154226865,0.18860086811793375,0.16837648602329125,0.19201348985463718,3,3,UNIVERSAL
tgt_inventory_cost_3,continuous,0.2156349056734071,0.3202364249462714,0.2516024501911398,0.26249126027027275,3,3,UNIVERSAL
tgt_range_bps_5,continuous,0.203493137358922,0.30465268298593834,0.29452532207072,0.2675570474718601,3,3,UNIVERSAL
tgt_alpha_3,continuous,0.2022646194773054,0.08209765911552391,0.12249505619218193,0.13561911159500376,3,3,UNIVERSAL
tgt_alpha_5,continuous,0.1890868929837732,0.18200153653521187,0.11228941774787671,0.16112594908895392,3,3,UNIVERSAL
tgt_liquidation_cascade_5,binary,0.1876506207557715,0.1055142758217511,0.07063996110594221,0.12126828589448828,3,3,UNIVERSAL
tgt_liquidation_cascade_3,binary,0.1848894541611153,0.09475602742066958,0.07922266729264027,0.11962271629147504,3,3,UNIVERSAL
tgt_max_drawup_long_5,continuous,0.1790876577442265,0.17952676329005332,0.17025915526778732,0.17629119210068903,3,3,UNIVERSAL
