target,type,SOLUSDT_4h,XRPUSDT_4h,DOGEUSDT_4h,SOLUSDT_1h,DOGEUSDT_1h,avg_4h,avg_1h,delta_1h_vs_4h,ratio_1h_vs_4h
tgt_range_bps_1,continuous,0.391155965554804,0.5440604649120109,0.43324486989675154,0.6606063981723402,0.671449356738869,0.45615376678785546,0.6660278774556045,0.20987411066774908,1.46009509500632
tgt_fwd_spread_bps_3,continuous,0.38573072292758176,0.47109973843106484,0.4364848291898024,0.6284153573726224,0.6209853895879656,0.431105096849483,0.6247003734802941,0.19359527663081105,1.449067473443496
tgt_consolidation_5,binary,0.38488650335089897,0.3706938774870568,0.3969287567672833,0.3738794194066194,0.3822195601950885,0.38416971253507964,0.37804948980085396,-0.006120222734225689,0.984068960840668
tgt_consolidation_3,binary,0.35295865284222244,0.35271443615593107,0.34209610004430685,0.3408022855407803,0.32870066867706826,0.3492563963474868,0.3347514771089243,-0.014504919238562508,0.9584691378876535
tgt_vol_expansion_10,binary,0.32157924559020373,0.3122092372747721,0.3163795429260559,0.26814744365619336,0.24966060186969985,0.3167226752636772,0.2589040227629466,-0.057818652500730594,0.817447069577208
tgt_range_bps_3,continuous,0.28979721390600716,0.31626646708570855,0.3418221192526809,0.5037646291706483,0.5050322229867602,0.3159619334147989,0.5043984260787042,0.18843649266390533,1.596389858193846
tgt_realized_vol_5,continuous,0.2578009399768048,0.3182004805801603,0.2919960961829665,0.4410008299109994,0.43969194826164265,0.2893325055799772,0.44034638908632107,0.15101388350634387,1.521938878604847
tgt_inventory_cost_5,continuous,0.23418798563515406,0.31020032508358897,0.2838800011042054,0.487051564634371,0.47586434188155174,0.2760894372743162,0.48145795325796137,0.2053685159836452,1.7438477835702049
tgt_range_bps_5,continuous,0.20349313735892208,0.30465268298593834,0.29452532207072,0.4730424255749909,0.4463529672879907,0.26755704747186015,0.4596976964314908,0.19214064895963062,1.7181296503873205
tgt_realized_vol_10,continuous,0.2236687337915333,0.3251552303041533,0.2497107711260327,0.4656128531617398,0.4146453614738885,0.2661782450739064,0.44012910731781413,0.1739508622439077,1.653512694832025
tgt_inventory_cost_3,continuous,0.21563490567340712,0.3202364249462714,0.2516024501911398,0.47396234303717644,0.4693426677438555,0.26249126027027275,0.47165250539051595,0.2091612451202432,1.7968312731817486
tgt_breakout_up_3,binary,0.27095631549305044,0.25859860114456595,0.24880923963725524,0.23493262932150671,0.23883272798674093,0.2594547187582905,0.23688267865412382,-0.02257204010416669,0.9130020058521466
tgt_breakout_down_3,binary,0.2537805253181684,0.2569050648461987,0.23836990768243596,0.23624989378281647,0.21691186133922102,0.24968516594893433,0.22658087756101875,-0.02310428838791559,0.9074663154292438
tgt_breakout_up_5,binary,0.24561713987900194,0.244020777443292,0.24004457629306022,0.2329765569500355,0.23298578690735572,0.24322749787178474,0.2329811719286956,-0.010246325943089135,0.9578734886772943
tgt_breakout_down_5,binary,0.2220479125148986,0.25169265806921537,0.22783763447679092,0.22781621791522777,0.20665821690179054,0.2338594016869683,0.21723721740850915,-0.016622184278459157,0.9289223176038536
tgt_breakout_up_10,binary,0.23164723926011913,0.2277253645653243,0.22617546877641415,0.23134611733434596,0.2034544566953983,0.2285160242006192,0.21740028701487213,-0.011115737185747071,0.9513568590008886
tgt_vol_expansion_5,binary,0.23261336328813684,0.2189142118521518,0.20904108437312405,0.21128359880537573,0.16141475679247508,0.22018955317113756,0.1863491777989254,-0.033840375372212156,0.8463125298868722
tgt_breakout_down_10,binary,0.22417613197968123,0.22617272738003782,0.2001602157062495,0.2287447162784524,0.1848155122919859,0.21683635835532286,0.20678011428521914,-0.01005624407010372,0.9536228880323434
tgt_vol_regime_10,continuous,0.26097420926521153,0.07343803549356759,0.29028130398610635,0.3037456184411393,0.20398071461813597,0.20823118291496182,0.25386316652963764,0.045631983614675825,1.2191409709914156
tgt_ret_magnitude_1,continuous,0.14531747274513296,0.26013950051084767,0.20698348852040663,0.3342845924459256,0.35778357687084367,0.20414682059212907,0.34603408465838464,0.14188726406625557,1.695025588224743
tgt_crash_10,binary,0.2190844894169438,0.17820742837345974,0.18249944388367015,0.1843593394510289,0.14756457700747228,0.1932637872246912,0.16596195822925058,-0.02730182899544062,0.8587328263225064
tgt_tail_event_5,binary,0.21906311542268653,0.18984036757034464,0.16837648602329125,0.17859357669096454,0.13284260839402184,0.19242665633877412,0.1557180925424932,-0.03670856379628093,0.8092334789019346
tgt_alpha_5,continuous,0.19737371375306031,0.17651060598236815,0.14189270616988994,0.23014895274927827,0.2361092991514007,0.1719256753017728,0.23312912595033947,0.061203450648566665,1.3559878449867317
tgt_max_drawup_long_3,continuous,0.11014362444749282,0.17890729596350072,0.2174001735746464,0.26773934909002667,0.2937128170608499,0.16881703132854664,0.2807260830754383,0.11190905174689164,1.66290143160436
tgt_relative_ret_1,continuous,0.19050867501815574,0.1524829662537657,0.139551405147478,0.2034383759506557,0.21173394670859827,0.1608476821397998,0.20758616132962698,0.04673847918982718,1.2905760193000775
tgt_vol_regime_5,continuous,0.2286931868872671,0.08778245453746351,0.1607463695103025,0.2431989402449331,0.26617181593102274,0.15907400364501104,0.2546853780879779,0.09561137444296688,1.6010496514335106
tgt_max_drawup_long_5,continuous,0.10497257575097492,0.17952676329005332,0.17025915526778732,0.2193371392275088,0.24807716219105788,0.15158616476960518,0.23370715070928333,0.08212098593967815,1.5417445982916271
tgt_max_drawdown_long_3,continuous,0.15910366496407183,0.1399369030820055,0.14412192254572942,0.29259743741648175,0.3259999682757429,0.14772083019726892,0.30929870284611233,0.1615778726488434,2.0938056090875574
tgt_tail_event_3,binary,0.1749386953760632,0.14379624099888733,0.11932233012199418,0.15512506849140517,0.09413599920675386,0.1460190888323149,0.12463053384907952,-0.021388554983235386,0.8535221993625948
tgt_crash_5,binary,0.1707814201386206,0.12311381605490479,0.14017545779043314,0.1611074430016548,0.042636238153204165,0.1446902313279862,0.10187184057742948,-0.04281839075055671,0.7040685445204986
tgt_alpha_3,continuous,0.1925159194922553,0.12744995376948007,0.10137424153561929,0.22105868027180894,0.24441040178796242,0.14044670493245157,0.23273454102988567,0.0922878360974341,1.65710218080104
tgt_ret_magnitude_3,continuous,0.09382391705762423,0.15383628747959383,0.1298557894018125,0.2562070148041248,0.2629197386589856,0.12583866464634352,0.25956337673155516,0.13372471208521164,2.0626679205555067
tgt_max_drawdown_long_5,continuous,0.13122241818329308,0.12781677380343962,0.10611224942917401,0.25343490854605555,0.30950872041162103,0.12171714713863557,0.2814718144788383,0.15975466734020272,2.312507490487289
