timestamp,datetime,event_price,direction,flow_impact,imbalance,max_run,ret_5s,price_5s,ret_15s,price_15s,ret_30s,price_30s,ret_60s,price_60s,ret_120s,price_120s,ret_300s,price_300s,classification
1753820353200,2025-07-29 20:19:13,180.79,Buy,110.84687192924883,0.9795990431880336,1127,6.08440732341466,180.9,19.35947784722575,181.14,25.44388517064041,181.25,32.634548371038406,181.38,43.69710714088282,181.58,43.14397920238958,181.57,Continuation
1753820353251,2025-07-29 20:19:13,180.79,Buy,111.68833933835472,0.9738140589968164,1127,6.08440732341466,180.9,19.35947784722575,181.14,25.44388517064041,181.25,32.634548371038406,181.38,43.69710714088282,181.58,43.14397920238958,181.57,Continuation
1753820353364,2025-07-29 20:19:13,180.82,Buy,113.03209957418838,0.9672140648590064,1127,5.5303616856539275,180.92,17.697157394093196,181.14,24.33359141687854,181.26,30.970025439663882,181.38,42.03074881097331,181.58,41.477712642406814,181.57,Continuation
1753820353478,2025-07-29 20:19:13,180.83,Buy,113.64051752374633,0.9673060100390694,1127,4.977050268206325,180.92,17.143173146047328,181.14,23.779240170324524,181.26,30.415307194601723,181.38,41.47541890173091,181.58,40.92241331637342,181.57,Continuation
1753820353529,2025-07-29 20:19:13,180.86,Buy,114.4764166393704,0.9673215611601256,1127,3.3174831361259454,180.92,14.928674112572255,181.13,21.563640384827288,181.25,28.751520513103053,181.38,39.809797633528625,181.58,39.25688377750633,181.57,Continuation
1753820353559,2025-07-29 20:19:13,180.87,Buy,116.15099901735935,0.9651729087530208,1127,2.7644164316903272,180.92,14.3749654447941,181.13,21.0095648808534,181.25,28.197047603250446,181.38,39.25471333001647,181.58,38.70183004367715,181.57,Continuation
1753820353610,2025-07-29 20:19:13,180.89,Buy,117.29069767441813,0.9619982211101444,1127,1.6584664713362343,180.92,13.267731770689874,181.13,19.348775498923256,181.24,27.0882856984913,181.38,38.144728840733386,181.58,37.59190668362026,181.57,Continuation
1753820353731,2025-07-29 20:19:13,180.9,Buy,118.68621028496524,0.9528079282680508,1127,0.5527915975672142,180.91,12.714206744056924,181.13,18.794914317302563,181.24,26.533996683249846,181.38,37.58982863460513,181.58,37.03703703703634,181.57,Continuation
1753820353994,2025-07-29 20:19:13,180.91,Buy,119.8498198493282,0.9527823744914956,1127,0.5527610414012992,180.92,12.16074291083958,181.13,16.582831242054688,181.21,25.979768945884633,181.38,36.48222873251874,181.57,36.48222873251874,181.57,Continuation
1753820354141,2025-07-29 20:19:14,180.92,Buy,121.49213887979012,0.9534044816137368,1127,0.0,180.92,11.607340260889233,181.13,15.476453681185118,181.2,24.87287198761978,181.37,35.92748175989419,181.57,35.92748175989419,181.57,Continuation
1753902009004,2025-07-30 19:00:09,175.3,Sell,72.06080502426485,0.7788229561579684,549,-15.402167712491831,175.57,-18.254420992583754,175.62,-21.106674272674052,175.67,6.845407872219312,175.18,2.281802624074185,175.26,104.962920707359,173.46,Reversal
1753902009007,2025-07-30 19:00:09,175.26,Sell,72.35376819868681,0.7797125922623414,549,-17.688006390505663,175.57,-19.39974894442562,175.6,-23.393814903571645,175.67,4.564646810452134,175.18,-0.0,175.26,102.70455323519245,173.46,Reversal
1753902009033,2025-07-30 19:00:09,175.28,Sell,72.79660291178989,0.7761351181244392,549,-16.54495664080283,175.57,-17.685988133272605,175.59,-21.67959835691439,175.66,5.705157462345637,175.18,1.1410314924697758,175.26,104.4043815609318,173.45,Reversal
1753902009207,2025-07-30 19:00:09,175.35,Sell,73.37860405366828,0.7627616149296663,549,-11.405759908754893,175.55,-13.116623895068047,175.58,-17.10863986313153,175.65,8.554319931565765,175.2,4.562303963500661,175.27,108.92500712859976,173.44,Reversal
1753902009285,2025-07-30 19:00:09,175.35,Sell,73.96445903511277,0.7536564420729641,549,-10.265183917878918,175.53,-14.2571998859424,175.6,-17.10863986313153,175.65,9.69489592244012,175.18,5.702879954376637,175.25,107.78443113772377,173.46,Reversal
1753902009285,2025-07-30 19:00:09,175.3,Sell,74.48665429631755,0.7553834553183983,549,-13.120365088419266,175.53,-17.11351968054666,175.6,-19.965772960638578,175.65,6.845407872219312,175.18,2.8522532800919205,175.25,104.962920707359,173.46,Reversal
1753902009285,2025-07-30 19:00:09,175.25,Sell,75.57522123893825,0.7589068520057414,549,-15.97717546362346,175.53,-19.97146932952892,175.6,-22.824536376605174,175.65,3.9942938659054597,175.18,-0.0,175.25,102.13980028530625,173.46,Reversal
1753902009285,2025-07-30 19:00:09,175.19,Sell,77.11033399942937,0.7637065351189762,549,-19.40750042810682,175.53,-23.403162280951914,175.6,-26.25720646155648,175.65,0.570808836120264,175.18,-3.4248530167248283,175.25,98.74992864889491,173.46,Reversal
1753902009285,2025-07-30 19:00:09,175.15,Sell,78.48322866114798,0.7678399791944587,549,-21.695689409077673,175.53,-25.692263773907428,175.6,-28.54695974878675,175.65,-1.71281758492727,175.18,-5.709391949757026,175.25,96.4887239508991,173.46,Reversal
1753902009372,2025-07-30 19:00:09,175.32,Sell,78.69155009991476,0.767734481138664,549,-11.407711613051394,175.52,-18.82272416153391,175.65,-18.252338580880288,175.64,8.555783709788141,175.17,7.985398129134517,175.18,104.95094684006409,173.48,Reversal
1753902009407,2025-07-30 19:00:09,175.28,Sell,79.49743077362308,0.7684964243328511,549,-13.692377909630824,175.52,-21.10908261068031,175.65,-20.538566864444615,175.64,6.275673208581336,175.17,6.275673208581336,175.17,102.69283432222795,173.48,Reversal
1753902009407,2025-07-30 19:00:09,175.25,Sell,80.22851841278955,0.7706060158589252,549,-15.406562054208859,175.52,-22.824536376605174,175.65,-22.253922967188952,175.64,4.5649072753216835,175.17,4.5649072753216835,175.17,100.99857346647704,173.48,Reversal
1753902009422,2025-07-30 19:00:09,175.31,Sell,80.38431344561855,0.7676182697130997,549,-11.97878044606742,175.52,-19.394215960299093,175.65,-18.82379784381861,175.64,7.985853630712154,175.17,9.126689863669876,175.15,104.38651531572714,173.48,Reversal
1753902009726,2025-07-30 19:00:09,175.3,Sell,81.19183556951239,0.7672977866849511,549,-11.40901312036444,175.5,-22.247575584711143,175.69,-19.965772960638578,175.65,7.415858528238669,175.17,7.986309184256405,175.16,101.54021677124935,173.52,Reversal
1753902009852,2025-07-30 19:00:09,175.37,Sell,81.8318584070802,0.7547399854181143,549,-7.412898443291067,175.5,-21.098249415521728,175.74,-14.255573929406397,175.62,11.974682100701827,175.16,11.974682100701827,175.16,103.21035524890245,173.56,Reversal
1753902268456,2025-07-30 19:04:28,173.91,Sell,128.27835546312306,0.6342789586315865,297,-5.1750905640850675,174.0,4.0250704387322855,173.84,16.67529181760635,173.62,77.62635846127274,172.56,128.22724397676902,171.68,75.32631821056881,172.6,Continuation
1753902268638,2025-07-30 19:04:28,173.95,Sell,128.54951207806468,0.6249553550872711,297,-1.7246335153780477,173.98,7.473411899970995,173.82,19.545846507615693,173.61,79.33314170738693,172.57,128.19775797642944,171.72,77.60850819200887,172.6,Continuation
1754035539141,2025-08-01 08:05:39,166.79,Sell,167.98204949459648,0.7075261365251497,764,-9.592901253072522,166.95,5.396006954853614,166.7,15.588464536242636,166.53,36.57293602733888,166.18,-19.78535883446325,167.12,-49.76317525031552,167.62,Continuation
1754035539186,2025-08-01 08:05:39,166.78,Sell,168.34175670965402,0.7083643478665945,764,-10.792660990526851,166.96,4.796738218012502,166.7,15.589399208537648,166.52,35.9755366350878,166.18,-20.38613742655015,167.12,-50.365751289123594,167.62,Continuation
1754035539186,2025-08-01 08:05:39,166.73,Sell,171.93081212966104,0.7144522416245053,764,-13.794757991964145,166.96,1.7993162598213361,166.7,12.595213818747649,166.52,32.98746476338889,166.18,-23.39111137767737,167.12,-53.37971570803184,167.62,Continuation
1754035539186,2025-08-01 08:05:39,166.67,Sell,176.51655629138992,0.7218705200759814,764,-17.39965200696109,166.96,-1.799964000720054,166.7,8.999820003598565,166.52,29.39941201175861,166.18,-26.99946001080081,167.12,-56.998860022800564,167.62,Exhaustion
1754035539186,2025-08-01 08:05:39,166.62,Sell,180.26333217148755,0.7276514452057358,764,-20.40571359980815,166.96,-4.801344376424444,166.7,6.001680470531408,166.52,26.407394070339556,166.18,-30.008402352658745,167.12,-60.01680470531749,167.62,Exhaustion
1754035539186,2025-08-01 08:05:39,166.6,Sell,185.6118856744503,0.7354993845307345,764,-21.608643457383774,166.96,-6.002400960383813,166.7,4.801920768306368,166.52,25.210084033612695,166.18,-31.212484993998213,167.12,-61.22448979591898,167.62,Exhaustion
1754035539186,2025-08-01 08:05:39,166.58,Sell,187.39909376089184,0.7380219028062956,764,-22.811862168327256,166.96,-7.203745947891471,166.7,3.6018729739465885,166.52,24.012486492976684,166.18,-32.416856765517586,167.12,-62.43246488173802,167.62,Exhaustion
1754035539186,2025-08-01 08:05:39,166.58,Sell,187.4111188567445,0.7380387124371718,764,-22.811862168327256,166.96,-7.203745947891471,166.7,3.6018729739465885,166.52,24.012486492976684,166.18,-32.416856765517586,167.12,-62.43246488173802,167.62,Exhaustion
1754035539186,2025-08-01 08:05:39,166.58,Sell,187.84419658417605,0.7386426682748061,764,-22.811862168327256,166.96,-7.203745947891471,166.7,3.6018729739465885,166.52,24.012486492976684,166.18,-32.416856765517586,167.12,-62.43246488173802,167.62,Exhaustion
1754035539204,2025-08-01 08:05:39,166.71,Sell,189.0027884280241,0.73712630175436,764,-14.996101013736427,166.96,0.5998440405506164,166.7,11.397036770439549,166.52,31.791734149121293,166.18,-25.793293743625362,167.14,-54.585807690000394,167.62,Continuation
1754035539218,2025-08-01 08:05:39,166.72,Sell,191.4444057162779,0.7403824095955605,764,-14.395393474088836,166.96,1.1996161228413047,166.7,11.996161228406228,166.52,32.38963531669818,166.18,-25.191938579653762,167.14,-53.98272552783144,167.62,Continuation
1754035539224,2025-08-01 08:05:39,166.75,Sell,192.29121645172583,0.7385620559614342,764,-12.593703148426265,166.96,2.9985007496258693,166.7,13.79310344827525,166.52,34.182908545726725,166.18,-23.388305847075646,167.14,-52.173913043478535,167.62,Continuation
1754035539307,2025-08-01 08:05:39,166.77,Sell,196.22499128616292,0.7380000159866563,764,-12.5921928404377,166.98,3.597769382982687,166.71,14.990705762427295,166.52,34.77843736883207,166.19,-22.18624452839096,167.14,-50.96839959225246,167.62,Continuation
1754035539315,2025-08-01 08:05:39,166.73,Sell,195.64743813175372,0.7452096648480124,764,-14.994302165177235,166.98,1.1995441732130878,166.71,12.595213818747649,166.52,32.38769267678235,166.19,-24.590655550890457,167.14,-53.37971570803184,167.62,Continuation
1754035539363,2025-08-01 08:05:39,166.68,Sell,197.90484489369183,0.7469271155305933,764,-17.99856011518976,166.98,-1.7998560115191466,166.71,9.599232061434881,166.52,30.597552195825493,166.17,-26.997840172785494,167.13,-56.39548836093099,167.62,Exhaustion
