timestamp,datetime,flow_impact,agg_vol,top_depth,imbalance,direction,agg_trades_count,same_side_share,max_run,spread,robust_z,price
1747848260174,2025-05-21 17:24:20,70.70387243735725,27935.09999999985,395.1,0.8183145934684314,Sell,2250,0.9091572967342157,578,-0.060000000000002274,87.60840048067593,168.76
1747848260340,2025-05-21 17:24:20,70.83548468742053,27987.099999999853,395.1,0.8205744789563755,Sell,2250,0.9102872394781877,578,-0.060000000000002274,87.77303333817325,168.75
1747848759996,2025-05-21 17:32:39,100.78496775628192,90645.99999999996,899.4,0.635392626260395,Buy,4750,0.8176963131301975,1702,-0.040000000000020464,65.01843715727155,167.92
1747848760020,2025-05-21 17:32:40,101.190793862575,91010.99999999996,899.4,0.6339365571194668,Buy,4800,0.8169682785597334,1702,-0.040000000000020464,65.23127411926264,167.9
1747848760022,2025-05-21 17:32:40,103.8248832555037,93380.10000000003,899.4,0.6432237703750566,Buy,4850,0.8216118851875283,1702,-0.040000000000020464,66.92194348161992,167.92
1747848760027,2025-05-21 17:32:40,104.70035579275077,94167.50000000004,899.4,0.6462070247165935,Buy,4900,0.8231035123582968,1702,-0.040000000000020464,67.47302543500592,168.02
1747848760036,2025-05-21 17:32:40,105.68934845452534,95057.00000000009,899.4,0.6460039765614298,Buy,4950,0.8230019882807149,1702,-0.040000000000020464,68.05095601714463,168.03
1747848760046,2025-05-21 17:32:40,106.29808761396497,95604.50000000009,899.4,0.6442071241416444,Buy,5000,0.8221035620708221,1702,-0.040000000000020464,68.39287527068679,168.05
1747848760067,2025-05-21 17:32:40,107.1599955525907,96379.70000000007,899.4,0.6316693245569334,Buy,5050,0.8158346622784667,1702,-0.040000000000020464,68.8956286593722,167.97
1747848760093,2025-05-21 17:32:40,108.08983766955762,97216.00000000013,899.4,0.6309887261356146,Buy,5100,0.8154943630678073,1702,-0.040000000000020464,69.42200232401251,167.99
1747848760211,2025-05-21 17:32:40,108.48421169668687,97570.70000000017,899.4,0.6264042381575609,Buy,5150,0.8132021190787804,1702,-0.040000000000020464,69.62288514817959,167.9
1747848760341,2025-05-21 17:32:40,111.28441183010915,100089.20000000017,899.4,0.6234898470564249,Buy,5200,0.8117449235282124,1702,-0.040000000000020464,71.43230347245535,167.9
1747848760476,2025-05-21 17:32:40,114.42183678007584,102911.0000000002,899.4,0.6229207762046808,Buy,5250,0.8114603881023403,1702,-0.040000000000020464,73.45364638037073,167.91
1747848760811,2025-05-21 17:32:40,115.7480542583947,104103.80000000019,899.4,0.6044390310440148,Buy,5300,0.8022195155220074,1702,-0.040000000000020464,74.28839605009205,167.8
1747848760940,2025-05-21 17:32:40,115.47831887925302,103861.20000000017,899.4,0.6028526533488917,Buy,5300,0.8014263266744458,1702,-0.040000000000020464,74.09170957718077,167.79
1747848765313,2025-05-21 17:32:45,98.2063492063492,103322.89999999998,1052.1,0.6317931455659873,Buy,5200,0.8158965727829937,1702,-0.03999999999999204,62.57825242531116,167.85
1747848765416,2025-05-21 17:32:45,98.18924056648606,103304.89999999998,1052.1,0.6315973395260045,Buy,5200,0.8157986697630023,1702,-0.03999999999999204,62.52067529874206,167.85
