timestamp,datetime,flow_impact,agg_vol,top_depth,imbalance,direction,agg_trades_count,same_side_share,max_run,spread,robust_z,price
1753820353200,2025-07-29 20:19:13,110.84687192924885,67683.09999999935,610.6,0.9795990431880336,Buy,1500,0.9897995215940169,1127,-0.22999999999998977,294.98050222213556,180.79
1753820353251,2025-07-29 20:19:13,111.68833933835472,68196.8999999994,610.6,0.9738140589968165,Buy,1550,0.9869070294984083,1127,-0.22999999999998977,297.0378302435552,180.79
1753820353364,2025-07-29 20:19:13,113.03209957418838,69017.39999999943,610.6,0.9672140648590065,Buy,1600,0.9836070324295032,1127,-0.22999999999998977,300.5453758521309,180.82
1753820353478,2025-07-29 20:19:13,113.64051752374631,69388.8999999995,610.6,0.9673060100390694,Buy,1650,0.9836530050195347,1127,-0.22999999999998977,302.09052831972946,180.83
1753820353529,2025-07-29 20:19:13,114.4764166393704,69899.29999999957,610.6,0.9673215611601257,Buy,1700,0.9836607805800629,1127,-0.22999999999998977,304.17855960725734,180.86
1753820353559,2025-07-29 20:19:13,116.15099901735935,70921.79999999962,610.6,0.9651729087530208,Buy,1750,0.9825864543765104,1127,-0.22999999999998977,308.5151929264777,180.87
1753820353610,2025-07-29 20:19:13,117.29069767441811,71617.6999999997,610.6,0.9619982211101443,Buy,1800,0.9809991105550722,1127,-0.22999999999998977,311.0465019717665,180.89
1753820353731,2025-07-29 20:19:13,118.68621028496523,72469.79999999977,610.6,0.9528079282680508,Buy,1850,0.9764039641340254,1127,-0.22999999999998977,314.24925324770595,180.9
1753820353994,2025-07-29 20:19:13,119.84981984932821,73180.29999999981,610.6,0.9527823744914956,Buy,1900,0.9763911872457478,1127,-0.22999999999998977,317.3335170929513,180.91
1753820354141,2025-07-29 20:19:14,121.49213887979012,74183.09999999985,610.6,0.9534044816137367,Buy,1950,0.9767022408068683,1127,-0.22999999999998977,321.6304550269836,180.92
1753902009004,2025-07-30 19:00:09,72.06080502426485,100971.59999999992,1401.2,0.7788229561579684,Sell,4500,0.8894114780789841,549,-0.01999999999998181,153.41665862644857,175.3
1753902009007,2025-07-30 19:00:09,72.35376819868681,101382.09999999996,1401.2,0.7797125922623414,Sell,4550,0.8898562961311707,549,-0.01999999999998181,153.99377240460993,175.26
1753902009033,2025-07-30 19:00:09,72.79660291178989,102002.6,1401.2,0.7761351181244392,Sell,4600,0.8880675590622196,549,-0.01999999999998181,154.88726069289208,175.28
1753902009207,2025-07-30 19:00:09,73.37860405366828,102818.1,1401.2,0.7627616149296663,Sell,4650,0.8813808074648332,549,-0.01999999999998181,156.06717582263138,175.35
1753902009285,2025-07-30 19:00:09,73.96445903511277,103639.00000000001,1401.2,0.7536564420729641,Sell,4700,0.8768282210364821,549,-0.01999999999998181,157.29675241357225,175.35
1753902009285,2025-07-30 19:00:09,74.48665429631755,104370.70000000016,1401.2,0.7553834553183983,Sell,4750,0.8776917276591992,549,-0.01999999999998181,158.35467838845256,175.3
1753902009285,2025-07-30 19:00:09,75.57522123893825,105896.00000000028,1401.2,0.7589068520057414,Sell,4800,0.8794534260028707,549,-0.01999999999998181,160.65496619510867,175.25
1753902009285,2025-07-30 19:00:09,77.11033399942937,108047.00000000044,1401.2,0.7637065351189762,Sell,4850,0.8818532675594881,549,-0.01999999999998181,163.87707142002048,175.19
1753902009285,2025-07-30 19:00:09,78.48322866114798,109970.70000000055,1401.2,0.7678399791944587,Sell,4900,0.8839199895972293,549,-0.01999999999998181,166.75812000384454,175.15
1753902009372,2025-07-30 19:00:09,78.69155009991476,110262.60000000057,1401.2,0.767734481138664,Sell,4950,0.8838672405693321,549,-0.01999999999998181,167.1335529842499,175.32
1753902009407,2025-07-30 19:00:09,79.49743077362308,111391.80000000066,1401.2,0.7684964243328511,Sell,5000,0.8842482121664256,549,-0.01999999999998181,168.77888883074613,175.28
1753902009407,2025-07-30 19:00:09,80.22851841278955,112416.20000000072,1401.2,0.7706060158589252,Sell,5050,0.8853030079294626,549,-0.01999999999998181,170.33528529408503,175.25
1753902009422,2025-07-30 19:00:09,80.38431344561855,112634.50000000071,1401.2,0.7676182697130997,Sell,5100,0.8838091348565499,549,-0.01999999999998181,170.626504459711,175.31
1753902009726,2025-07-30 19:00:09,81.19183556951239,113766.00000000077,1401.2,0.7672977866849511,Sell,5150,0.8836488933424755,549,-0.01999999999998181,172.30428078700774,175.3
1753902009852,2025-07-30 19:00:09,81.8318584070802,114662.80000000079,1401.2,0.7547399854181143,Sell,5200,0.8773699927090571,549,-0.01999999999998181,173.5862467294884,175.37
1753902268456,2025-07-30 19:04:28,128.27835546312306,80186.79999999823,625.1,0.6342789586315865,Sell,6100,0.8171394793157932,297,-0.020000000000010232,215.05032286175174,173.91
1753902268638,2025-07-30 19:04:28,128.54951207806468,80356.29999999823,625.1,0.6249553550872711,Sell,6100,0.8124776775436355,297,-0.020000000000010232,215.43215693411574,173.95
1754035539141,2025-08-01 08:05:39,167.98204949459648,96388.09999999945,573.8,0.7075261365251497,Sell,6450,0.8537630682625749,764,-0.05000000000001137,320.19950181716194,166.79
1754035539186,2025-08-01 08:05:39,168.34175670965402,96594.49999999946,573.8,0.7083643478665945,Sell,6450,0.8541821739332972,764,-0.05000000000001137,320.797008547541,166.78
1754035539186,2025-08-01 08:05:39,171.93081212966104,98653.8999999995,573.8,0.7144522416245053,Sell,6500,0.8572261208122526,764,-0.05000000000001137,327.56283374506546,166.73
1754035539186,2025-08-01 08:05:39,176.51655629138992,101285.19999999953,573.8,0.7218705200759814,Sell,6550,0.8609352600379907,764,-0.05000000000001137,336.25562980953606,166.67
1754035539186,2025-08-01 08:05:39,180.26333217148755,103435.09999999955,573.8,0.7276514452057358,Sell,6600,0.8638257226028678,764,-0.05000000000001137,343.3425286355068,166.62
1754035539186,2025-08-01 08:05:39,185.6118856744503,106504.09999999957,573.8,0.7354993845307345,Sell,6650,0.8677496922653672,764,-0.05000000000001137,353.4326069251773,166.6
1754035539186,2025-08-01 08:05:39,187.39909376089182,107529.59999999971,573.8,0.7380219028062956,Sell,6700,0.8690109514031478,764,-0.05000000000001137,356.840012077023,166.58
1754035539186,2025-08-01 08:05:39,187.41111885674454,107536.5,573.8,0.7380387124371718,Sell,6750,0.8690193562185858,764,-0.05000000000001137,356.83913532253933,166.58
1754035539186,2025-08-01 08:05:39,187.84419658417605,107785.0000000002,573.8,0.7386426682748061,Sell,6800,0.869321334137403,764,-0.05000000000001137,357.5290712184168,166.58
1754035539204,2025-08-01 08:05:39,189.0027884280241,108449.80000000022,573.8,0.73712630175436,Sell,6850,0.8685631508771801,764,-0.05000000000001137,359.690438916824,166.71
1754035539218,2025-08-01 08:05:39,191.4444057162779,109850.80000000025,573.8,0.7403824095955605,Sell,6900,0.8701912047977802,764,-0.05000000000001137,364.1934320743046,166.72
1754035539224,2025-08-01 08:05:39,192.29121645172583,110336.70000000027,573.8,0.7385620559614342,Sell,6950,0.869281027980717,764,-0.05000000000001137,365.6158671519076,166.75
1754035539307,2025-08-01 08:05:39,196.22499128616295,112593.90000000029,573.8,0.7380000159866563,Sell,7000,0.8690000079933281,764,-0.05000000000001137,373.08018676351315,166.77
1754035539315,2025-08-01 08:05:39,195.64743813175374,112262.50000000029,573.8,0.7452096648480124,Sell,7000,0.8726048324240062,764,-0.05000000000001137,371.93105499175795,166.73
1754035539363,2025-08-01 08:05:39,197.90484489369183,113557.80000000037,573.8,0.7469271155305933,Sell,7050,0.8734635577652967,764,-0.05000000000001137,376.1808907582499,166.68
1754035539557,2025-08-01 08:05:39,202.69170442663017,116304.50000000038,573.8,0.7431208594680343,Sell,7100,0.8715604297340172,764,-0.05000000000001137,385.28477448096817,166.73
1754035539557,2025-08-01 08:05:39,206.25723248518733,118350.40000000049,573.8,0.7475614784571918,Sell,7150,0.8737807392285959,764,-0.05000000000001137,392.0699490653642,166.65
1754035539557,2025-08-01 08:05:39,207.96061345416615,119327.80000000053,573.8,0.7496291727493513,Sell,7200,0.8748145863746756,764,-0.05000000000001137,395.19784781113725,166.6
1754035539557,2025-08-01 08:05:39,211.55036598117908,121387.60000000054,573.8,0.7538776613097222,Sell,7250,0.8769388306548611,764,-0.05000000000001137,401.89810635100366,166.56
1754035539557,2025-08-01 08:05:39,223.57947019867663,128289.90000000063,573.8,0.7671196251614512,Sell,7300,0.8835598125807256,764,-0.05000000000001137,424.8015227126972,166.55
1754035539557,2025-08-01 08:05:39,224.90902753572806,129052.80000000075,573.8,0.7684963053881828,Sell,7350,0.8842481526940914,764,-0.05000000000001137,427.3307035057094,166.53
