timestamp,datetime,classification,ret_30s,flow_impact,imbalance,direction,hour,10s_vol,10s_vol_mean,10s_drift,10s_distance,10s_range,10s_position,10s_trade_rate,10s_volume,10s_imbalance,10s_slope,30s_vol,30s_vol_mean,30s_drift,30s_distance,30s_range,30s_position,30s_trade_rate,30s_volume,30s_imbalance,30s_slope,2m_vol,2m_vol_mean,2m_drift,2m_distance,2m_range,2m_position,2m_trade_rate,2m_volume,2m_imbalance,2m_slope,5m_vol,5m_vol_mean,5m_drift,5m_distance,5m_range,5m_position,5m_trade_rate,5m_volume,5m_imbalance,5m_slope,15m_vol,15m_vol_mean,15m_drift,15m_distance,15m_range,15m_position,15m_trade_rate,15m_volume,15m_imbalance,15m_slope
1747848260174,2025-05-21 17:24:20,Reversal,-17.776724342261875,70.70387243735725,0.8183145934684314,Sell,17,1.117030790043774,-0.013465940432069197,-27.181941736097592,-0.5925223677205266,34.92257457592955,0.10169491525424056,201.90571715145435,26479.2,-0.8748149490921175,-3.3211775034757145,0.8892493570683575,-0.009303767666288707,-37.77817130039468,-0.5925223677205266,66.77880571418662,0.05309734513274425,135.08467795706096,44466.6,-0.41810707362379845,-1.7372269087104628,0.6480736079692946,-0.005901966609524669,-67.09434406450393,-0.5925223677205266,77.33796403644483,0.04580152671755891,94.77001575748481,132196.9,-0.16334195431209061,-0.3182274656631566,0.6333017430955363,-0.005257544740746295,-136.75413476710906,-0.5925223677205266,162.3400111139494,0.02173913043478328,87.04325808399413,317585.1,-0.16601125178731624,-0.44580376805983074,0.75602671832057,-0.0054399938177914,-266.4513524424694,-0.5925223677205266,274.16972466213775,0.01279317697228194,54.88394422921765,553235.8,-0.15575420101157586,-0.27821094223104825
1747848260340,2025-05-21 17:24:20,Reversal,-13.629629629629022,70.83548468742053,0.8205744789563755,Sell,17,0.9746316948219038,-0.01429935815985906,-28.95296620184407,0.0,34.922888062949106,0.08474576271188318,202.36188951160926,26539.5,-0.8740820286742402,-3.3631935704420153,0.7775316192245596,-0.009579530795195312,-38.95873915353265,0.0,66.77935440607389,0.04424778761062859,135.5824740547936,44541.5,-0.4178238272173142,-1.740316784420825,0.6341134306547545,-0.00605303259317769,-68.8559322033891,0.0,77.33828628615012,0.03816793893130632,94.89574645537948,132263.1,-0.16329649010192568,-0.3189396351407328,0.6350436681242392,-0.0053004093775981115,-137.9229735258029,0.0,162.34056099298593,0.018115942028989498,87.03509210635993,317662.60000000003,-0.16602143280323217,-0.44594797185209406,0.7617893581981043,-0.005462219554697318,-267.60482150066247,0.0,274.17062058942514,0.01066098081023697,54.887154552484915,553313.3,-0.1557614826898251,-0.27827777250010777
1747848759996,2025-05-21 17:32:39,Continuation,22.629823725585037,100.78496775628192,0.635392626260395,Buy,17,1.2210948745652104,0.002756506098822413,10.730893048764658,0.0,61.34218030506575,0.514563106796117,402.98206729800523,79078.5,0.7076525224934718,4.26696390186369,1.1406154065241834,0.005297858631104565,37.05917513448751,0.0,76.30606662151348,0.6093750000000003,235.81601681064674,117554.69999999998,0.5602285574290096,1.4287014293974165,0.8931546714913008,0.005861587293737688,137.03591910654885,0.0,174.1020820450052,0.8281786941580754,194.91129785247432,323831.10000000003,0.3556381706389535,0.8656032984654458,0.7543537739663545,0.00016316430326865936,7.151370679378791,0.0,179.6627483515285,0.8333333333333334,176.91848661334896,696510.4,0.16038468341606957,0.00242287589214166,0.7833700869473145,-0.0020716303766706015,-233.2344558832094,0.0,389.9455070732109,0.38109756097560965,124.823201323655,1408813.8999999997,-0.023236213100963868,-0.34274669592733
1747848760020,2025-05-21 17:32:40,Continuation,23.22811197141074,101.190793862575,0.6339365571194668,Buy,17,1.2898032894445532,0.00328625499964704,13.115535948491646,-3.572279114074915,61.34211089154483,0.4951456310679794,411.356783919598,81530.7,0.7137593569048224,4.224501414454746,1.2394858561190831,0.005325652935997949,37.65240258187877,-2.977076510865314,76.30498555158653,0.5937500000000145,239.0665687387327,119998.0,0.5673577892964882,1.4241598096787593,0.8658575640543565,0.005810749336186149,136.43223664352493,-0.5955571437073972,174.09888122101228,0.8213058419244047,195.64746282589851,326283.3,0.35980971137658596,0.8652523516285198,0.7778453472500804,0.00016472880302705194,7.151370679378791,-1.1910433539770016,179.66098018324723,0.8266666666666728,177.21434595499136,698962.6,0.16301701979476438,0.00439654861334691,0.7811853638717562,-0.0020488608632458737,-230.90792764497172,-3.572279114074915,389.9461013226452,0.37804878048780755,124.9232780935607,1411266.1,-0.021613429246263374,-0.3423042103541756
1747848760022,2025-05-21 17:32:40,Continuation,22.03430204859484,103.8248832555037,0.6432237703750566,Buy,17,1.1984654174493958,0.002689618703116674,10.730893048764658,0.0,61.34210855254421,0.514563106796117,411.7765273311897,81893.5,0.7150274441805516,4.22170063277365,1.0333967990500494,0.005049253100394227,35.859431030360646,0.0,76.30493219436192,0.6093750000000003,239.2175190279076,120360.79999999999,0.5686618899176475,1.4237250712995217,0.8778824078375246,0.005835934930168103,137.03591910654885,0.0,174.09871050410652,0.8281786941580754,195.68587574388638,326646.1,0.3605207593171938,0.865123732765722,0.7752266709795395,0.00016451298270657173,7.151370679378791,0.0,179.660885592582,0.8333333333333334,177.2298317604979,699325.3999999999,0.1634512345754923,0.0045010646316207,0.7905279408092298,-0.0020692337238552,-233.2344558832094,0.0,389.94613354541934,0.38109756097560965,124.92855983294676,1411628.9,-0.021350866364382312,-0.342237569755937
1747848760027,2025-05-21 17:32:40,Continuation,16.06951553386393,104.70035579275076,0.6462070247165935,Buy,17,1.2482546616672148,0.003955293354285934,16.096339573147834,0.5952026665090963,61.341729819355116,0.6116504854369157,416.6917746309129,82667.8,0.7176966122238647,4.209994177179433,1.017041148232532,0.005672329645020002,40.64068850107619,1.1904761904767995,76.3041379244607,0.687500000000018,240.87981042021295,121135.1,0.5714190189301036,1.4233644888985721,0.8421010915556858,0.005997428968515807,141.2616963477213,1.7858205845586723,174.09679477978332,0.8625429553264682,196.10278122734053,327420.4,0.36203303153987965,0.8647403509216716,0.7625861451705229,0.0002529133814943695,11.918951132299679,1.1904761904767995,179.6598402322876,0.8666666666666742,177.39688127095874,700099.7,0.16437644524058515,0.005656305630822556,0.8000789051167442,-0.002025146753623501,-228.5813994067357,1.1904761904767995,389.946378867857,0.3963414634146375,124.98457234541489,1412403.2,-0.020790946947727075,-0.3417584916974477
1747848760036,2025-05-21 17:32:40,Continuation,15.47342736416062,105.68934845452534,0.6460039765614298,Buy,17,1.3307561885239756,0.004199377622836158,17.28866102301133,0.0,61.34119239981289,0.6213592233009846,421.73389524382907,83500.0,0.7157101796407186,4.2059469017789635,1.1047261924163208,0.0058854988901462825,42.43366005259431,0.0,76.30320370350215,0.6953125000000109,242.6092759426093,121967.3,0.5710571604028293,1.4250739279551479,0.8506577820866983,0.006060224677799804,143.0727437367947,0.5951672419944593,174.0947010374565,0.8659793814433036,196.53810254016935,328252.6,0.36242942173192233,0.8649875867271113,0.7999067304311235,0.00032266807386048795,15.495559926099252,-1.190121987504328,179.65875103710022,0.8700000000000045,177.5917480130154,700930.6,0.1647989116183542,0.006983814224993388,0.7899906967559793,-0.0020142552133158584,-227.4049086890774,0.0,389.94660365462016,0.39786585365853855,125.04336378434634,1413235.4,-0.0204734469572443,-0.34144235955786884
1747848760046,2025-05-21 17:32:40,Continuation,14.281463850043478,106.29808761396497,0.6442071241416444,Buy,17,1.2223719454010342,0.003981624042007628,16.69250029808043,1.7855017259850694,61.3404137733853,0.6407766990291498,428.02726543704887,84285.4,0.7083717939287231,4.205855140212975,1.0528090813445186,0.005988912700278454,43.62897442027362,0.0,76.3019690001318,0.7109375000000189,244.7631754503002,122752.7,0.5669439450211686,1.4282110770711731,0.8540754299904201,0.006093674052091213,144.27139925147983,0.0,174.09198311823613,0.872852233676984,197.08321180049168,329033.69999999995,0.3614107004844794,0.8653318745833641,0.7470278525137568,0.00031821142762546227,15.495559926099252,0.0,179.65731048443138,0.8766666666666746,177.80918916396078,701716.0,0.16453408501445022,0.008561776637386108,0.7732037325228125,-0.002003772265586149,-226.24171222519405,0.0,389.9468507785473,0.400914634146345,125.11646938217301,1414020.7999999998,-0.02050196149872749,-0.34103137776582526
1747848760067,2025-05-21 17:32:40,Continuation,19.051021015657152,107.1599955525907,0.6316693245569334,Buy,17,1.2214228622071712,0.0032626686376915634,13.711696673422544,0.0,61.34019849506878,0.5631067961165164,430.0290087026108,84789.2,0.6990017596580698,4.203465562961497,1.1143442251001288,0.005326515525678304,38.84771694955808,0.0,76.30149764170542,0.6484375000000092,245.53333333333333,123256.29999999999,0.5610788251797272,1.4293556655302757,0.8598954339282054,0.005886386877039695,139.44223107569735,0.0,174.09070200813835,0.8453608247422718,197.3393570112777,329430.4,0.35932202978231514,0.8656504394126577,0.7798527192846363,0.00023132954035614384,10.727695333452935,0.0,179.65671518725523,0.8500000000000038,177.8934139601244,702219.8,0.16379287510833507,0.00921503620644721,0.7699842143067612,-0.0020458019976179504,-230.89449808072575,0.0,389.9469853303187,0.3887195121951236,125.14579180096932,1414524.6,-0.020804021365199255,-0.34103782454190085
1747848760093,2025-05-21 17:32:40,Continuation,17.26293231739937,108.08983766955762,0.6309887261356146,Buy,17,1.222595805639003,0.003642012690440874,15.501102963096603,0.0,61.33998766204136,0.5825242718446816,434.38687737547514,85561.5,0.6988411844112129,4.215434705883678,1.1216902044409167,0.005538920072393368,40.643117566194896,0.0,76.30072300548433,0.6640625000000172,247.09806537691793,123964.2,0.5626382455579917,1.4283009392294097,0.8299396895691187,0.005921961913177054,140.6495231196434,0.0,174.08899201158192,0.8522336769759523,197.7049426235656,330266.6,0.35981173997007265,0.8654481989331372,0.7915228343219072,0.0002878594534984766,13.710061993324882,0.0,179.65586147397448,0.8566666666666739,178.0800906938748,702957.2000000001,0.16413801579953943,0.010391520842887591,0.7825447933822534,-0.002033350414075834,-229.73130161684244,0.0,389.94726655823536,0.39176829268293,125.19665341746116,1415360.7999999998,-0.02046517043569384,-0.3407420087757602
