timestamp,datetime,classification,ret_30s,flow_impact,imbalance,direction,hour,10s_vol,10s_vol_mean,10s_drift,10s_distance,10s_range,10s_position,10s_trade_rate,10s_volume,10s_imbalance,10s_slope,30s_vol,30s_vol_mean,30s_drift,30s_distance,30s_range,30s_position,30s_trade_rate,30s_volume,30s_imbalance,30s_slope,2m_vol,2m_vol_mean,2m_drift,2m_distance,2m_range,2m_position,2m_trade_rate,2m_volume,2m_imbalance,2m_slope,5m_vol,5m_vol_mean,5m_drift,5m_distance,5m_range,5m_position,5m_trade_rate,5m_volume,5m_imbalance,5m_slope,15m_vol,15m_vol_mean,15m_drift,15m_distance,15m_range,15m_position,15m_trade_rate,15m_volume,15m_imbalance,15m_slope,regime_pred
1753820353200,2025-07-29 20:19:13,Continuation,25.44388517064041,110.84687192924883,0.9795990431880336,Buy,20,1.6586701962843593,0.0178729347097482,26.62081969940601,0.0,26.58436050194613,1.0,153.04560759106212,67978.6,0.9797318567902252,1.7634255334483322,1.5896238802149574,0.014672902885702,23.841206475935817,0.0,28.802987914349664,1.0,55.523541574861866,69304.5,0.953922183985167,0.655313737365375,1.4155498627798715,0.0200105541842506,53.94283172060943,0.0,53.7603795490054,1.0,22.76478911197952,82726.1,0.7744049338721394,0.2343913454174062,1.0365750742706454,0.0059411924807984,27.73309667757502,0.0,58.25761906532362,1.0,15.756443229920162,102950.7,0.5787323447047956,0.126983538054072,0.6166427165274013,-0.0008415494310338,-11.602209944751822,0.0,72.10008810876263,0.8076923076923052,15.005472309225512,196489.2,0.1090319467940223,-0.0229790643629946,NO_TRADE
1753820353251,2025-07-29 20:19:13,Continuation,25.44388517064041,111.68833933835472,0.9738140589968164,Buy,20,1.6572636020145226,0.0173558014043911,26.62081969940601,0.0,27.13717581595736,0.9795918367346548,156.82095006090134,68211.8,0.9733535839840028,1.8570556878159283,1.590394918087889,0.0142838476686585,23.841206475935817,0.0,29.355784046163677,0.9811320754716616,56.95046020573904,69537.70000000001,0.9477520826832062,0.675198897537123,1.0300277339193444,0.0196372704242673,53.94283172060943,0.0,54.31282938512458,0.9897959183673274,23.13384461262596,82959.3,0.7697376906507167,0.2385478224351452,0.9686425268777784,0.0058785969449375,27.73309667757502,0.0,58.81072977294316,0.9905660377358309,15.904426118081156,103183.9,0.5754221346547282,0.1289467365745205,0.6493231414492128,-0.0008366199561797,-11.602209944751822,0.0,72.0994411777039,0.8076923076923052,15.054669939485477,196722.4,0.1078524865495744,-0.0223093802495083,NO_TRADE
1753820353364,2025-07-29 20:19:13,Continuation,24.33359141687854,113.03209957418838,0.9672140648590064,Buy,20,1.588808240791331,0.0178900988270288,28.284620930618985,0.0,28.24372720432231,1.0,159.6588058203713,69014.9,0.96725634609338,1.9666075991600616,1.5264260594535572,0.0148572164519429,25.50454646262916,0.0,30.46237721030328,1.0,58.28417326816113,70340.79999999999,0.942062074926643,0.6959178717390189,1.3525775965254605,0.0199472064446902,55.61116672227784,0.0,55.41939060211303,1.0,23.49873843566022,83762.40000000001,0.7666661891254309,0.2427783801626987,0.7874502740556705,0.0061527831126248,29.397082478229585,0.0,59.91856286604911,1.0,16.052374385819288,103987.0,0.5744487291680691,0.1309311235525859,0.6989334874484576,-0.0007081957537962,-9.944751381215848,0.0,72.09876640001225,0.8307692307692294,15.103932671734674,197525.5,0.1092410853282234,-0.0216228698888549,NO_TRADE
1753820353478,2025-07-29 20:19:13,Continuation,23.779240170324524,113.64051752374633,0.9673060100390694,Buy,20,1.6233466446199247,0.0173636226776018,28.283052351376405,0.0,28.242506694680635,1.0,166.88714765442148,69385.3,0.967379257566084,2.1401316658016145,1.5611349800327836,0.0147590845834061,26.058993124861324,0.0,31.014929187964317,1.0,59.74008529500655,70712.3,0.9422844399064942,0.7200122287751461,1.0230634207474507,0.0197533995152018,56.16727838950169,0.0,55.9715147071477,1.0,23.896348328768045,84133.90000000001,0.7676275555988729,0.2474921021717272,0.8959151290123443,0.0062128771304674,29.95174441178216,0.0,60.47136650217811,1.0,16.213539610420025,104358.5,0.5759080477392833,0.1331232499128478,0.6110150433219285,-0.0006706954718901,-9.392265193369475,0.0,72.09801316751222,0.8384615384615521,15.157613832212151,197897.0,0.1108839446782923,-0.0208778685262383,NO_TRADE
1753820353529,2025-07-29 20:19:13,Continuation,21.563640384827288,114.4764166393704,0.9673215611601256,Buy,20,1.5944634195650835,0.0178850113311078,30.50133096717011,-0.5528832863377512,30.455565304406228,0.9818181818181988,173.7193763919822,70432.9,0.9676429623088074,2.4257792887604577,1.535677618012813,0.0153480997720429,28.27677977378525,-0.5528832863377512,33.22806634149105,0.9833333333333484,62.18571907475696,71759.9,0.9429096194392692,0.759689914623216,1.2452840776550542,0.0196445302360166,57.27950172394624,0.5529444290859457,58.18482586426021,0.9904761904761992,24.524419434762525,85181.5,0.7703022369880784,0.2549999465974386,0.9462341259922749,0.0064592800679414,31.615730212436723,0.0,62.68726983023662,0.991150442477884,16.465007677202887,105406.1,0.5799749729854344,0.1365527872961423,0.6489033490914543,-0.0005838021466181,-8.287292817679873,0.5529444290859457,72.09681191817123,0.8615384615384764,15.241255013058693,198944.6,0.1154874271530868,-0.0197282729882214,NO_TRADE
1753820353559,2025-07-29 20:19:13,Continuation,21.0095648808534,116.15099901735935,0.9651729087530208,Buy,20,1.1261987535417757,0.0175662114798408,30.50133096717011,0.0,31.008596126330065,0.9821428571428734,175.7165926524021,70918.29999999999,0.9652416936108168,2.5251622046755675,1.0867650003562943,0.0150866367852265,28.27677977378525,0.0,33.78110281338062,0.9836065573770636,62.960482250502345,72245.3,0.9407186349838677,0.7733066196660506,1.0451853565810898,0.0198310794369973,58.39172505839236,0.0,58.73781160303699,0.9905660377358576,24.72815819303917,85666.90000000001,0.7694325346195555,0.2575682604534995,1.09621904286524,0.0065539581734997,32.17039214598771,0.0,63.24092924933439,0.9912280701754465,16.546976756632002,105891.5,0.5801438264638806,0.1377117810997185,0.7056883824045314,-0.000498326619481,-7.182320441988699,0.0,72.0964010323358,0.8692307692307771,15.2685420004425,199430.0,0.1167076167076167,-0.0193454807657635,NO_TRADE
1753820353610,2025-07-29 20:19:13,Continuation,19.348775498923256,117.29069767441813,0.9619982211101444,Buy,20,1.5240030893029468,0.0178070002065547,31.61047027506617,0.0,32.114775160281425,0.9827586206896224,179.234862938046,71586.1,0.9620540859189144,2.705081028236384,1.4701681092192411,0.0153667715407582,29.385673098246432,0.0,34.88730730844336,0.9841269841269532,64.32416167964962,72913.1,0.9378136439130964,0.7972791984127593,1.336080245027175,0.0199445346586815,59.5039483928369,0.0,59.84401203665345,0.9907407407407228,25.08686821210951,86334.7,0.7683040538740507,0.2620429129290421,0.768133474205936,0.0066877052903304,33.27971601308971,0.0,64.34846182095093,0.9913793103448107,16.691302864710487,106559.30000000002,0.5804157872658697,0.1397312587880218,0.8007304681756137,-0.0004092329408157,-6.077348066299097,0.0,72.0956720569659,0.8846153846153787,15.316593328159986,200097.8,0.1183991028387118,-0.0186755002584547,NO_TRADE
1753820353731,2025-07-29 20:19:13,Continuation,18.794914317302563,118.68621028496524,0.9528079282680508,Buy,20,1.4351726218181582,0.0173200004219535,31.60871735152183,0.0,32.113004737461296,0.9827586206896703,189.34544703696056,72196.8,0.9527015047758352,3.291001567301116,1.3845641718077069,0.0152250571720184,29.9401197604786,0.0,35.43927200036112,0.984375000000014,65.94616231361954,73785.9,0.929281881768739,0.8379701094260174,1.0801422606051334,0.0197364222128579,60.06006006006076,0.0,60.39549734671646,0.9908256880734028,25.52256701350751,87214.8,0.7626343235322447,0.267736036367928,0.8267739052083434,0.0067293693561436,33.83437794664228,0.0,64.90069824463254,0.9914529914529993,16.868412343425632,107439.4,0.5773524424000879,0.1422868941940215,0.8167873831775099,-0.0003662121692366,-5.524861878452724,0.0,72.09473804115669,0.8923076923077014,15.37567126832614,200977.9,0.1187847021985999,-0.0178374350310347,NO_TRADE
1753820353994,2025-07-29 20:19:13,Continuation,16.582831242054688,119.8498198493282,0.9527823744914956,Buy,20,0.9710215315099872,0.0170734564452392,32.16325625242522,0.0,32.111522272933684,1.0,189.66730324655745,72908.4,0.9526776064212078,3.6281762910000857,1.6788099936419916,0.0154281514863805,31.05073468256181,0.0,35.43761743370455,1.0,69.76344381790675,74494.8,0.9294796415320264,0.8749877310095705,1.3673289336148442,0.0196132326136514,60.61617172728303,0.0,60.39302328934816,1.0,25.9098134359575,87926.4,0.764152745932962,0.2730605842260742,1.0473474383312993,0.0067888598057058,34.38903988019327,0.0,64.89832722677647,1.0,17.03061435795352,108151.0,0.579806011964753,0.1446812054094467,0.7438323557375704,-0.0003305637914043,-4.972375690607923,0.0,72.09383646365126,0.9000000000000021,15.43007514452152,201689.5,0.1217182847892428,-0.0170431128031484,NO_TRADE
1753820354141,2025-07-29 20:19:14,Continuation,15.476453681185118,121.49213887979012,0.9534044816137368,Buy,20,1.5570552559344972,0.0164795759878299,31.60521208760705,0.0,32.110088321961015,1.0,200.74890784272927,73909.79999999999,0.953302539040831,4.508335401536334,1.8943143972557857,0.0153794225584311,31.60521208760705,0.0,35.98987319797588,1.0,71.05470219971947,75496.70000000001,0.930399606870234,0.9047321203498848,1.5468166631563984,0.0195171720095423,61.1722833945053,0.0,60.94486652026009,1.0,26.279067824226875,88928.29999999999,0.7667963966476364,0.2777663671310167,1.0802328086110151,0.0068369550649448,34.94370181374428,0.0,65.45086920533606,1.0,17.182497688191248,109152.9,0.5836519231280158,0.1468001498915583,0.6789539946057783,-0.0002942925511736,-4.419889502763121,0.0,72.09303655805404,0.907692307692303,15.498581076646332,202691.3,0.1260532642496249,-0.0163209308810489,NO_TRADE
