timestamp,datetime,date,hour,direction,flow_impact,imbalance,max_run,event_price,spread,spread_bps,depth_l1,depth_l2,depth_l3,depth_l4,depth_l5,top_depth,total_depth_l5,best_bid,best_ask,pre_10s_vol,pre_10s_range,pre_10s_drift,pre_10s_imbalance,pre_30s_vol,pre_30s_range,pre_30s_drift,pre_30s_imbalance,pre_2m_vol,pre_2m_range,pre_2m_drift,pre_2m_imbalance,pre_5m_vol,pre_5m_range,pre_5m_drift,pre_5m_imbalance,pre_15m_vol,pre_15m_range,pre_15m_drift,pre_15m_imbalance
1753820353200,2025-07-29 20:19:13,2025-07-29,20,Buy,110.84687192924883,0.9795990431880336,1127,180.79,-0.22999999999998977,-12.722646310432005,94.9,269.0,44.1,21.6,181.0,94.9,610.6,180.78,180.55,1.6586701962843593,26.58436050194613,26.62081969940601,0.9797318567902253,1.5896238802149574,28.802987914349664,23.841206475935817,0.953922183985167,1.4155498627798715,53.7603795490054,53.94283172060943,0.7744049338721394,1.0365750742706454,58.25761906532362,27.73309667757502,0.5787323447047956,0.6166427165274013,72.10008810876263,-11.602209944751822,0.10903194679402231
1753820353251,2025-07-29 20:19:13,2025-07-29,20,Buy,111.68833933835472,0.9738140589968164,1127,180.79,-0.22999999999998977,-12.722646310432005,94.9,269.0,44.1,21.6,181.0,94.9,610.6,180.78,180.55,1.6572636020145226,27.13717581595736,26.62081969940601,0.9733535839840027,1.590394918087889,29.355784046163674,23.841206475935817,0.9477520826832062,1.0300277339193444,54.31282938512458,53.94283172060943,0.7697376906507167,0.9686425268777783,58.81072977294316,27.73309667757502,0.5754221346547282,0.6493231414492128,72.0994411777039,-11.602209944751822,0.10785248654957441
1753820353364,2025-07-29 20:19:13,2025-07-29,20,Buy,113.03209957418838,0.9672140648590064,1127,180.82,0.0,0.0,217.2,33.800000000000004,279.8,449.79999999999995,898.1,217.2,1878.6999999999998,180.79,180.79,1.588808240791331,28.24372720432231,28.284620930618985,0.96725634609338,1.5264260594535572,30.462377210303277,25.504546462629158,0.942062074926643,1.3525775965254603,55.41939060211303,55.61116672227784,0.7666661891254309,0.7874502740556705,59.91856286604911,29.397082478229585,0.5744487291680691,0.6989334874484576,72.09876640001225,-9.944751381215847,0.10924108532822349
1753820353478,2025-07-29 20:19:13,2025-07-29,20,Buy,113.64051752374633,0.9673060100390694,1127,180.83,0.0,0.0,162.7,375.29999999999995,251.4,266.0,586.2,162.7,1641.6000000000001,180.82,180.82,1.6233466446199247,28.242506694680635,28.283052351376405,0.967379257566084,1.5611349800327836,31.014929187964313,26.058993124861324,0.9422844399064942,1.0230634207474507,55.9715147071477,56.16727838950169,0.7676275555988729,0.8959151290123443,60.47136650217811,29.95174441178216,0.5759080477392833,0.6110150433219285,72.09801316751222,-9.392265193369475,0.1108839446782923
1753820353529,2025-07-29 20:19:13,2025-07-29,20,Buy,114.4764166393704,0.9673215611601256,1127,180.86,0.0,0.0,162.7,375.29999999999995,251.4,266.0,586.2,162.7,1641.6000000000001,180.82,180.82,1.5944634195650835,30.455565304406228,30.50133096717011,0.9676429623088074,1.535677618012813,33.22806634149105,28.276779773785254,0.9429096194392692,1.2452840776550542,58.18482586426021,57.27950172394624,0.7703022369880784,0.9462341259922749,62.68726983023662,31.615730212436723,0.5799749729854344,0.6489033490914543,72.09681191817123,-8.287292817679873,0.11548742715308687
1753820353559,2025-07-29 20:19:13,2025-07-29,20,Buy,116.15099901735935,0.9651729087530208,1127,180.87,0.0,0.0,162.7,375.29999999999995,251.4,266.0,586.2,162.7,1641.6000000000001,180.82,180.82,1.1261987535417757,31.008596126330065,30.50133096717011,0.9652416936108169,1.0867650003562943,33.78110281338062,28.276779773785254,0.9407186349838677,1.0451853565810898,58.73781160303699,58.39172505839236,0.7694325346195555,1.0962190428652399,63.240929249334386,32.17039214598771,0.5801438264638806,0.7056883824045314,72.0964010323358,-7.182320441988699,0.1167076167076167
1753820353610,2025-07-29 20:19:13,2025-07-29,20,Buy,117.29069767441813,0.9619982211101444,1127,180.89,-0.03999999999999204,-2.211533145352576,119.5,5.4,15.3,225.3,157.9,119.5,523.4,180.87,180.83,1.5240030893029468,32.114775160281425,31.61047027506617,0.9620540859189145,1.4701681092192413,34.88730730844336,29.385673098246432,0.9378136439130964,1.336080245027175,59.84401203665345,59.503948392836904,0.7683040538740507,0.768133474205936,64.34846182095093,33.27971601308971,0.5804157872658697,0.8007304681756137,72.0956720569659,-6.077348066299097,0.11839910283871184
1753820353731,2025-07-29 20:19:13,2025-07-29,20,Buy,118.68621028496524,0.9528079282680508,1127,180.9,-0.020000000000010232,-1.1055831951359996,348.0,80.8,113.9,736.9,1034.2,348.0,2313.8,180.9,180.88,1.4351726218181582,32.113004737461296,31.60871735152183,0.9527015047758352,1.3845641718077069,35.43927200036112,29.9401197604786,0.929281881768739,1.0801422606051334,60.39549734671646,60.06006006006076,0.7626343235322447,0.8267739052083434,64.90069824463254,33.83437794664228,0.5773524424000879,0.8167873831775099,72.09473804115669,-5.524861878452724,0.11878470219859998
1753820353994,2025-07-29 20:19:13,2025-07-29,20,Buy,119.8498198493282,0.9527823744914956,1127,180.91,0.009999999999990905,0.5527915975672142,390.7,498.5,219.2,322.2,508.4,390.7,1939.0,180.9,180.91,0.9710215315099872,32.111522272933684,32.16325625242522,0.9526776064212078,1.6788099936419916,35.43761743370455,31.05073468256181,0.9294796415320264,1.3673289336148442,60.393023289348164,60.61617172728303,0.764152745932962,1.0473474383312993,64.89832722677647,34.38903988019327,0.579806011964753,0.7438323557375704,72.09383646365126,-4.972375690607923,0.12171828478924282
1753820354141,2025-07-29 20:19:14,2025-07-29,20,Buy,121.49213887979012,0.9534044816137368,1127,180.92,0.0,0.0,403.3,777.0,212.3,262.4,767.3,403.3,2422.3,180.91,180.91,1.5570552559344972,32.110088321961015,31.605212087607054,0.953302539040831,1.8943143972557859,35.98987319797588,31.605212087607054,0.9303996068702339,1.5468166631563984,60.94486652026009,61.1722833945053,0.7667963966476364,1.0802328086110151,65.45086920533606,34.943701813744276,0.5836519231280158,0.6789539946057783,72.09303655805404,-4.419889502763121,0.12605326424962499
