timestamp,datetime,date,hour,direction,event_price,flow_impact,agg_vol,agg_trades_count,imbalance,same_side_share,max_run,burst_zscore,ob_depth_l5,ob_spread,ob_delay_ms,pre_10s_vol,pre_10s_range,pre_10s_drift,pre_10s_imbalance,pre_30s_vol,pre_30s_range,pre_30s_drift,pre_30s_imbalance,pre_2m_vol,pre_2m_range,pre_2m_drift,pre_2m_imbalance,pre_5m_vol,pre_5m_range,pre_5m_drift,pre_5m_imbalance,pre_15m_vol,pre_15m_range,pre_15m_drift,pre_15m_imbalance,ret_5s,ret_15s,ret_30s,ret_60s,ret_120s,ret_300s,label
1747774048134,2025-05-20 20:47:28.134,2025-05-20,20,Buy,168.7,1188.749305169539,53464.00000000001,2009,0.8917103097411341,0.945855154870567,1389,17.3928683843698,4497.5,0.009999999999990905,2850,0.27881953860312336,7.126712782364668,5.345687811830303,0.6253909109055821,0.29174394986696783,14.258211718386326,9.507397944024992,0.5986301369863007,0.2842004763236861,27.333888440220573,25.592191405783737,0.4437252009360091,0.29915909940998725,46.98978894406888,40.531680276567826,0.26183241511740457,0.33878456949217617,62.46035881358385,32.75759380583579,-0.0011854829178385754,-1.7783046828690656,3.5566093657381312,9.484291641969474,12.44813278008346,23.117960877297854,-15.411973918197447,NO_TRADE
1747774330634,2025-05-20 20:52:10.634,2025-05-20,20,Sell,168.5,626.7816204886357,38276.3,1399,0.9045362273782994,0.9522681136891497,400,11.772112055398175,6106.8,0.009999999999990905,350,0.19529438609170938,5.340446689388654,-5.3383949225934755,-0.8509098023870085,0.26778656659896977,24.3112756537462,-21.910345235980607,-0.8002875629043857,0.2895031297926631,39.680395429994114,-27.225378787879258,-0.2959993691515123,0.3991195524112093,60.412076902957594,17.240354319005533,0.5085953285715743,0.367356062439739,91.41096745423958,24.391694925337415,0.05667735855793317,0.0,0.0,-1.78041543026713,-5.93471810088987,-3.56083086053426,-11.86943620177974,NO_TRADE
1747775491634,2025-05-20 21:11:31.634,2025-05-20,21,Sell,168.17,231.07084019769357,11220.8,899,0.615767146727506,0.8078835733637529,271,8.308726911182058,4856.0,0.010000000000019327,1550,0.2650846273639761,21.38755784810184,-20.77521220395289,-0.9349094523922724,0.24077816253955134,40.962173037282206,-40.28436018957386,-0.8788030549643175,0.23845769327722804,72.28210699280967,-64.41699663140496,-0.2957479735838044,0.2796720038676219,72.25350296265849,-55.60156157577178,-0.047704112851811684,0.27012979634159273,72.26906366302276,-18.405272219913453,0.05318495076436408,7.135636558244904,1.1892727597080475,5.351727418683678,-13.67663673663494,-3.567818279120762,-4.162454658975631,NO_TRADE
1747776584634,2025-05-20 21:29:44.634,2025-05-20,21,Sell,167.57,240.62155531059983,6767.0,819,0.818412886064726,0.909206443032363,234,6.690948334007825,2812.3,0.009999999999990905,4249,0.22833582308757808,4.768964807730931,-4.767864592644621,-0.9181395348837208,0.3064415346234232,5.364622040229947,-4.172130170460912,-0.7453658536585368,0.2602128019650127,33.94338501341249,-27.35327347326988,-0.3334279541404477,0.2624070939323153,42.84627649536779,-33.87211789873979,-0.22170421101851476,0.28211006031858654,44.621973831899076,-4.172130170460912,-0.15884855556007252,-3.580593184937774,-16.70943486304238,-21.48355910962495,-2.387062123291284,-34.01563525690715,5.370889777406661,NO_TRADE
1747782469634,2025-05-20 23:07:49.634,2025-05-20,23,Buy,168.18,444.95671684275743,53148.3,2033,0.6835834824444056,0.8417917412222028,1294,45.03349970772067,11944.6,0.09999999999999432,4548,0.30789815610743737,2.3803147966313807,0.5950964056188602,0.08571428571428583,0.3040977837869098,8.332064829872847,5.954153021734013,0.22473055636469613,0.28457428069322616,15.48074521941234,10.722582951093514,0.3313351823685575,0.28869834916516984,32.76547564327316,31.63801337153779,0.20660719458957574,0.27583018305640916,53.08757030132777,48.43338914135388,0.23149983082796016,-6.5406112498521605,-4.1622071589959075,-14.270424545130757,-12.486621476989415,-9.513616363419942,5.3514092044240344,NO_TRADE
1747782770134,2025-05-20 23:12:50.134,2025-05-20,23,Buy,168.32,257.71711445238685,12546.699999999999,398,0.9599735388588234,0.9799867694294117,280,8.273753316246236,4868.4,0.009999999999990905,50,0.20357149540416153,7.724626628358828,5.943889681407175,0.7059316781508621,0.2198021526438173,13.671240716492685,12.49033485993029,0.6473335408975662,0.2506078927729956,18.43376675454032,11.299435028248451,0.23087006941060073,1.009971170139737,32.70866894072178,17.25676881880345,0.4954083960076286,0.7401390829052097,55.36874978997484,48.3495493344477,0.3894261860237549,-1.1882129277555733,-1.1882129277555733,-2.3764258555128355,1.7823193916350486,5.346958174905146,31.487642585551402,NO_TRADE
1747783240134,2025-05-20 23:20:40.134,2025-05-20,23,Sell,168.7,800.109485271272,54078.6,2069,0.7501747456480012,0.8750873728240006,1332,30.337095492902858,6758.9,0.020000000000010232,4950,0.2286910908747218,9.472936547506594,-8.876790152679446,-0.45944239873750614,0.2421029615687349,15.980524275778075,-4.736250074002965,-0.24584007992558604,0.2418513449338689,17.16153491644295,-8.876790152679446,-0.07121529763039242,0.24475460313074532,43.23830336345363,25.534441805226056,0.24442945521294,0.6240015801714238,78.97085182748961,61.98223970439362,0.5144133205539715,-2.9638411381139864,-2.9638411381139864,-2.371072910491526,-2.9638411381139864,19.56135151155972,11.855364552461,NO_TRADE
1747783630134,2025-05-20 23:27:10.134,2025-05-20,23,Sell,168.77,238.52622300572938,13530.399999999998,641,0.935803819547094,0.9679019097735471,469,8.933255392178905,5672.5,0.010000000000019327,4950,0.3498588131950644,3.550800113625737,-2.9582297952911705,-0.3803680981595091,0.2743862677366648,4.142144368414629,-2.9582297952911705,-0.3938269969532396,0.31703417371452747,31.993421380159123,7.106899615043208,-0.8805733991893241,0.2823273367618728,35.52681721856348,20.16248591591078,-0.40137535488287485,0.3964410010102364,63.42179234800997,51.75490779298064,-0.05071498551449639,-2.370089470878738,0.0,-1.7775671031582116,2.370089470877054,0.5925223677188425,5.3327013094746345,NO_TRADE
1747784852134,2025-05-20 23:47:32.134,2025-05-20,23,Buy,168.2,220.8261401237232,12279.7,563,0.982556577115076,0.991278288557538,387,7.764138075752807,5560.8,0.020000000000010232,1150,0.31849946045446736,3.5714624621180464,3.5720664404359277,0.9464436917866217,0.30477945051744026,14.293146121145467,14.303593777937248,0.8395760223447681,0.25851831056422336,28.57963413383354,-5.947778504728146,-0.2807369667026934,0.2762983671257912,29.758077128569585,-4.164187983342843,-0.21789330246597224,0.2890878599207416,75.45471310772984,-49.15314461684309,-0.21072259651047848,1.783590963139188,5.350772889417564,4.75624256837173,10.107015457789293,20.2140309155769,4.75624256837173,NO_TRADE
1747784882134,2025-05-20 23:48:02.134,2025-05-20,23,Buy,168.28,253.53235789965916,20602.800000000003,877,0.8839575203370414,0.9419787601685207,648,12.470584708545049,8126.300000000001,0.030000000000001137,1150,0.27343592851295967,5.349046511233201,3.5665458003924555,0.9658983264919482,0.27790887659733854,16.051772755341215,15.473427364160619,0.9662674431381167,0.26174940318241063,31.54250384799883,4.161217453334513,0.3979479879034308,0.2770155371168047,31.537662297935668,5.945656697781932,0.266146722642167,0.2884854303240625,70.71587091794018,-36.705938073530554,-0.026672533470439075,4.753981459473051,2.3769907297356814,5.3482291419065495,13.073449013548778,15.450439743284461,-0.594247682433498,NO_TRADE
