vol_1m,vol_range,vol_expanding,vol_ratio,vwap_distance,drift_5m,trend_slope,high_5m,low_5m,range_5m,price_position,trade_rate,volume_5m,buy_imbalance,timestamp,datetime,classification,ret_30s,flow_impact,imbalance,direction,hour
25.880654276369516,46.071436890921625,True,1.065814423020899,-73.94852344859935,-137.33855414645683,-0.44580376805983074,171.46,168.7,163.54586394880417,0.02173913043478328,87.04325808399413,317585.1,-0.16601125178731624,1747848260174,2025-05-21 17:24:20,Reversal,-17.776724342261875,70.70387243735725,0.8183145934684314,Sell,17
26.109006742476527,46.071436890921625,True,1.065814423020899,-74.51874985204984,-137.9229735258029,-0.44594797185209406,171.46,168.7,163.5555555555567,0.018115942028989498,87.03509210635993,317662.60000000003,-0.16602143280323217,1747848260340,2025-05-21 17:24:20,Reversal,-13.629629629629022,70.83548468742053,0.8205744789563755,Sell,17
33.06639352677533,67.42878715807966,True,1.1297428466540005,53.12431924148003,7.151370679378791,0.00242287589214166,168.42,165.42,178.65650309671275,0.8333333333333334,176.91848661334896,696510.4,0.16038468341606957,1747848759996,2025-05-21 17:32:39,Continuation,22.629823725585037,100.78496775628192,0.635392626260395,Buy,17
33.396351643368,67.42878715807966,True,1.1297428466540005,51.73533081424514,5.959475566149839,0.00439654861334691,168.42,165.42,178.6777843954735,0.8266666666666728,177.21434595499136,698962.6,0.16301701979476438,1747848760020,2025-05-21 17:32:40,Continuation,23.22811197141074,101.190793862575,0.6339365571194668,Buy,17
33.06639352677533,67.42878715807966,True,1.1297428466540005,52.905082149760815,7.151370679378791,0.0045010646316207,168.42,165.42,178.65650309671275,0.8333333333333334,177.2298317604979,699325.3999999999,0.1634512345754923,1747848760022,2025-05-21 17:32:40,Continuation,22.03430204859484,103.8248832555037,0.6432237703750566,Buy,17
33.68229415072412,67.4280910606288,True,1.1297105369223677,58.82758895984901,13.110846245530325,0.005656305630822556,168.42,165.42,178.55017259850018,0.8666666666666742,177.39688127095874,700099.7,0.16437644524058515,1747848760027,2025-05-21 17:32:40,Continuation,16.06951553386393,104.70035579275076,0.6462070247165935,Buy,17
34.50191324804483,67.42913049358121,True,1.1297338448787826,59.35561736460781,14.303593777937248,0.006983814224993388,168.42,165.42,178.53954650955188,0.8700000000000045,177.5917480130154,700930.6,0.1647989116183542,1747848760036,2025-05-21 17:32:40,Continuation,15.47342736416062,105.68934845452534,0.6460039765614298,Buy,17
34.342437273029795,67.42843439613036,True,1.1297015354045934,60.48521994394196,15.495559926099252,0.008561776637386108,168.42,165.42,178.51829812555786,0.8766666666666746,177.80918916396078,701716.0,0.16453408501445022,1747848760046,2025-05-21 17:32:40,Continuation,14.281463850043478,106.29808761396497,0.6442071241416444,Buy,17
33.418926207358744,67.42843439613036,True,1.1297015354045934,55.65405590635097,10.727695333452935,0.00921503620644721,168.42,165.42,178.6033220217896,0.8500000000000038,177.8934139601244,702219.8,0.16379287510833507,1747848760067,2025-05-21 17:32:40,Continuation,19.051021015657152,107.1599955525907,0.6316693245569334,Buy,17
34.09422512250386,67.42946464822552,True,1.1296745252734424,56.79167241736266,13.710061993324882,0.010391520842887591,168.42,165.42,178.58205845586045,0.8566666666666739,178.0800906938748,702957.2000000001,0.16413801579953943,1747848760093,2025-05-21 17:32:40,Continuation,17.26293231739937,108.08983766955762,0.6309887261356146,Buy,17
33.02727358769545,67.42912118992139,True,1.1296835295802747,51.36531975741037,7.748703582285001,0.011801207075312877,168.42,165.42,178.6777843954735,0.8266666666666728,178.29064502577305,703461.9,0.16348930908695977,1747848760211,2025-05-21 17:32:40,Continuation,19.654556283501137,108.48421169668688,0.6264042381575609,Buy,17
32.76002896305633,67.42843439613036,True,1.1297015354045934,51.18499424451409,6.55581381488847,0.012933875629812587,168.42,165.42,178.6777843954735,0.8266666666666728,178.4383022705298,705953.5999999999,0.16506807246255278,1747848760341,2025-05-21 17:32:40,Continuation,21.44133412745593,111.28441183010916,0.6234898470564249,Buy,17
