vol_1m,vol_range,vol_expanding,vol_ratio,vwap_distance,drift_5m,trend_slope,high_5m,low_5m,range_5m,price_position,trade_rate,volume_5m,buy_imbalance,timestamp,datetime,classification,ret_30s,flow_impact,imbalance,direction,hour
18.29590976527893,18.412833989172576,False,0.9685533046530544,21.3068356842694,27.73309667757502,0.12698353805407203,180.79,179.74,58.07843354167725,1.0,15.756443229920162,102950.7,0.5787323447047956,1753820353200,2025-07-29 20:19:13,Continuation,25.44388517064041,110.84687192924883,0.9795990431880336,Buy,20
18.29590976527893,18.505262264830844,False,0.983454773015289,21.259097922258412,27.73309667757502,0.12894673657452058,180.8,179.74,58.6315614801705,0.9905660377358309,15.904426118081156,103183.9,0.5754221346547282,1753820353251,2025-07-29 20:19:13,Continuation,25.44388517064041,111.68833933835472,0.9738140589968164,Buy,20
18.700583215596843,18.690118816146853,True,1.0132577097396738,22.75235540585382,29.397082478229585,0.1309311235525859,180.82,179.74,59.727906205064926,1.0,16.052374385819288,103986.99999999999,0.5744487291680691,1753820353364,2025-07-29 20:19:13,Continuation,24.33359141687854,113.03209957418838,0.9672140648590064,Buy,20
18.83898467961958,18.78254709180512,True,1.0281591781019084,23.225218288878178,29.95174441178216,0.13312324991284785,180.83,179.74,60.2776088038491,1.0,16.213539610420025,104358.5,0.5759080477392833,1753820353478,2025-07-29 20:19:13,Continuation,23.779240170324524,113.64051752374633,0.9673060100390694,Buy,20
19.409582229000076,19.15254725469124,True,1.0878113319693483,24.643948284995112,31.615730212436723,0.13655278729614231,180.87,179.74,62.47926573039895,0.9911504424778841,16.465007677202887,105406.1,0.5799749729854344,1753820353529,2025-07-29 20:19:13,Continuation,21.563640384827288,114.4764166393704,0.9673215611601256,Buy,20
19.409137711854413,19.24468847009541,True,1.1026665199129124,25.080385629252095,32.17039214598771,0.13771178109971857,180.88,179.74,63.0286946425602,0.9912280701754465,16.546976756632002,105891.5,0.5801438264638806,1753820353559,2025-07-29 20:19:13,Continuation,21.0095648808534,116.15099901735935,0.9651729087530208,Buy,20
19.703638323905363,19.429545021411684,True,1.1324694566373394,26.026570685737013,33.27971601308971,0.1397312587880218,180.9,179.74,64.12737022499843,0.9913793103448109,16.691302864710487,106559.30000000002,0.5804157872658697,1753820353610,2025-07-29 20:19:13,Continuation,19.348775498923256,117.29069767441813,0.9619982211101444,Buy,20
19.85312331071883,19.52197329706969,True,1.1473709249995319,26.362261692017366,33.83437794664228,0.14228689419402157,180.91,179.74,64.67661691542219,0.9914529914529991,16.868412343425632,107439.4,0.5773524424000879,1753820353731,2025-07-29 20:19:13,Continuation,18.794914317302563,118.68621028496524,0.9528079282680508,Buy,20
20.004053664585392,19.52197329706969,True,1.1473709249995319,26.739032881486427,34.38903988019327,0.14468120540944673,180.91,179.74,64.67304184401014,1.0,17.03061435795352,108151.0,0.579806011964753,1753820353994,2025-07-29 20:19:13,Continuation,16.582831242054688,119.8498198493282,0.9527823744914956,Buy,20
20.156396916967456,19.614401572727694,True,1.162272393361724,27.04381793478645,34.943701813744276,0.14680014989155837,180.92,179.74,65.22219765642154,1.0,17.182497688191248,109152.9,0.5836519231280158,1753820354141,2025-07-29 20:19:14,Continuation,15.476453681185118,121.49213887979012,0.9534044816137368,Buy,20
