timestamp,datetime,date,hour,flow_impact,imbalance,max_run,direction,pre_vol_15m,pre_range_15m,pre_vol_5m,pre_range_5m,pre_vol_2m,pre_drift_2m,pre_vol_30s,pre_range_30s,pre_imbalance_30s,pre_vol_10s,pre_range_10s,regime_pred,classification,ret_5s,ret_15s,ret_30s,ret_60s,ret_120s,ret_300s
1747848260174,2025-05-21 17:24:20,2025-05-21,17,70.70387243735725,0.8183145934684314,,Sell,0.75602671832057,274.1697246621377,0.6333017430955363,162.3400111139494,0.6480736079692946,-67.09434406450393,0.8892493570683575,66.77880571418662,-0.4181070736237984,1.117030790043774,34.92257457592955,NO_TRADE,Reversal,,,-17.776724342261875,,,
1747848260340,2025-05-21 17:24:20,2025-05-21,17,70.83548468742053,0.8205744789563755,,Sell,0.7617893581981043,274.17062058942514,0.6350436681242392,162.34056099298593,0.6341134306547545,-68.8559322033891,0.7775316192245596,66.77935440607389,-0.4178238272173142,0.9746316948219038,34.922888062949106,NO_TRADE,Reversal,,,-13.629629629629022,,,
1747848759996,2025-05-21 17:32:39,2025-05-21,17,100.78496775628192,0.635392626260395,,Buy,0.7833700869473145,389.9455070732109,0.7543537739663545,179.6627483515285,0.8931546714913008,137.03591910654885,1.1406154065241834,76.30606662151348,0.5602285574290096,1.2210948745652104,61.34218030506575,NO_TRADE,Continuation,,,22.62982372558504,,,
1747848760020,2025-05-21 17:32:40,2025-05-21,17,101.190793862575,0.6339365571194668,,Buy,0.7811853638717562,389.9461013226452,0.7778453472500804,179.66098018324723,0.8658575640543565,136.43223664352493,1.2394858561190831,76.30498555158653,0.5673577892964882,1.2898032894445532,61.34211089154483,NO_TRADE,Continuation,,,23.22811197141074,,,
1747848760022,2025-05-21 17:32:40,2025-05-21,17,103.8248832555037,0.6432237703750566,,Buy,0.7905279408092298,389.94613354541934,0.7752266709795395,179.660885592582,0.8778824078375246,137.03591910654885,1.0333967990500494,76.30493219436192,0.5686618899176475,1.1984654174493958,61.34210855254421,NO_TRADE,Continuation,,,22.03430204859484,,,
1747848760027,2025-05-21 17:32:40,2025-05-21,17,104.70035579275076,0.6462070247165935,,Buy,0.8000789051167442,389.946378867857,0.7625861451705229,179.6598402322876,0.8421010915556858,141.2616963477213,1.017041148232532,76.3041379244607,0.5714190189301036,1.2482546616672148,61.34172981935512,NO_TRADE,Continuation,,,16.06951553386393,,,
1747848760036,2025-05-21 17:32:40,2025-05-21,17,105.68934845452534,0.6460039765614298,,Buy,0.7899906967559793,389.94660365462016,0.7999067304311235,179.65875103710022,0.8506577820866983,143.0727437367947,1.1047261924163208,76.30320370350215,0.5710571604028293,1.3307561885239756,61.34119239981289,NO_TRADE,Continuation,,,15.47342736416062,,,
1747848760046,2025-05-21 17:32:40,2025-05-21,17,106.29808761396497,0.6442071241416444,,Buy,0.7732037325228125,389.9468507785473,0.7470278525137568,179.65731048443138,0.8540754299904201,144.27139925147983,1.0528090813445186,76.3019690001318,0.5669439450211686,1.2223719454010342,61.3404137733853,NO_TRADE,Continuation,,,14.281463850043478,,,
1747848760067,2025-05-21 17:32:40,2025-05-21,17,107.1599955525907,0.6316693245569334,,Buy,0.7699842143067612,389.9469853303187,0.7798527192846363,179.65671518725523,0.8598954339282054,139.44223107569735,1.1143442251001288,76.30149764170542,0.5610788251797272,1.2214228622071712,61.34019849506878,NO_TRADE,Continuation,,,19.051021015657152,,,
1747848760093,2025-05-21 17:32:40,2025-05-21,17,108.08983766955762,0.6309887261356146,,Buy,0.7825447933822534,389.94726655823536,0.7915228343219072,179.65586147397448,0.8299396895691187,140.6495231196434,1.1216902044409167,76.30072300548433,0.5626382455579917,1.222595805639003,61.33998766204136,NO_TRADE,Continuation,,,17.26293231739937,,,
1747848760211,2025-05-21 17:32:40,2025-05-21,17,108.48421169668688,0.6264042381575609,,Buy,0.7876512359261647,389.9476707638773,0.7824475168621119,179.65459819416253,0.8336654884198808,134.60493752640903,0.978355900873214,76.29782463204066,0.5534643127006731,1.3919501547590103,61.33968541044971,NO_TRADE,Continuation,,,19.654556283501137,,,
1747848760341,2025-05-21 17:32:40,2025-05-21,17,111.28441183010916,0.6234898470564249,,Buy,0.7812566078380843,389.9480263626326,0.7542871629041367,179.65376836000766,0.8446283143116092,136.4404733156254,1.0374103446928884,76.29651346719221,0.5608773855815009,1.4391593083554393,61.3392589370801,NO_TRADE,Continuation,,,21.44133412745593,,,
1747848760476,2025-05-21 17:32:40,2025-05-21,17,114.42183678007584,0.6229207762046808,,Buy,0.7845602334987635,389.9484331458858,0.7667264620760965,179.65263712131406,0.8604717504748449,138.25163004105414,1.03299817917982,76.29560972411396,0.5502093258039501,1.1841965369730088,61.3391744660151,NO_TRADE,Continuation,,,19.05782859865364,,,
1747848760811,2025-05-21 17:32:40,2025-05-21,17,115.7480542583947,0.6044390310440148,,Buy,0.7440289646863136,389.9494861698702,0.7970071755909502,179.65137166427974,0.8272180650454858,131.62661514309906,1.0604124485473412,76.29294129916333,0.5453344797882455,1.342459264947302,61.33833198714908,NO_TRADE,Continuation,,,28.00953516090577,,,
1747848760940,2025-05-21 17:32:40,2025-05-21,17,115.47831887925302,0.6028526533488917,,Buy,0.748903506736693,389.949575070503,0.789144348998154,179.65122672883854,0.8669806692278378,135.91881116346505,1.1285913525893103,76.29279702204863,0.5446200046706927,1.388644383663479,61.33794100436119,NO_TRADE,Continuation,,,30.39513677811665,,,
1747848765313,2025-05-21 17:32:45,2025-05-21,17,98.2063492063492,0.6317931455659873,,Buy,0.7811821858886957,385.20460991516273,0.8042335438610606,179.64465141585603,0.8053601922363803,120.59089538739826,1.0792764249041518,68.52688400791453,0.5513729522916564,1.385049327527287,48.82183542766285,NO_TRADE,Continuation,,,21.44772117962548,,,
1747848765416,2025-05-21 17:32:45,2025-05-21,17,98.18924056648606,0.6315973395260045,,Buy,0.7860531375319012,384.0159662819604,0.8136120149832852,179.6445843523086,0.8154157403189801,119.37059142702054,1.1274641920510653,68.52681762060332,0.5512229126862495,1.3043752934873336,48.82112890707612,NO_TRADE,Continuation,,,19.06464104855485,,,
1747848765982,2025-05-21 17:32:45,2025-05-21,17,97.9269080885848,0.6345607882836749,,Buy,0.7890967610418481,384.016517103196,0.78592304924016,179.6437004384803,0.8721224281859525,118.71760877425568,0.9663693329729464,66.73859782216671,0.5520822812764272,1.2269937762472352,48.82001317390675,NO_TRADE,Continuation,,,18.46447078444233,,,
1747848765990,2025-05-21 17:32:45,2025-05-21,17,113.92350869469524,0.6362624612480418,,Buy,0.7830385532178137,384.0166304565172,0.7307548622021215,179.64335047668942,0.8060754264699139,119.92286368567008,1.069368490158256,66.7384906517543,0.5530622144508995,1.2698476052037495,48.82006134399387,NO_TRADE,Continuation,,,16.078127791340545,,,
1747848766697,2025-05-21 17:32:46,2025-05-21,17,112.5636143517501,0.6521662610620534,,Buy,0.77486782092635,383.4332711279855,0.7869323730903808,179.64308466212597,0.8534861856023201,113.26665863357177,1.010539037394318,61.970393396010216,0.5504795413709594,1.2364933115382308,48.81755973868002,NO_TRADE,Continuation,,,23.82938162754541,,,
1747848766811,2025-05-21 17:32:46,2025-05-21,17,113.13086066475915,0.6461936731630371,,Buy,0.7825453908811681,383.43406006475794,0.7752656444828278,179.64199140186608,0.8460479692219232,109.042713416471,1.0971804679984656,61.374463074160296,0.5458412342023106,1.4229886596761652,48.81790937045158,NO_TRADE,Continuation,,,28.60548271752025,,,
1747848766862,2025-05-21 17:32:46,2025-05-21,17,112.97457627118663,0.6485118661999598,,Buy,0.7670897377918212,383.434085377066,0.7779563475268559,179.6419618286842,0.8596933769968591,107.21599807252144,1.096682074563426,61.37421528289121,0.5444487843935761,1.4594250366747767,48.8178913353322,NO_TRADE,Continuation,,,29.797377830750893,,,
1747848766912,2025-05-21 17:32:46,2025-05-21,17,113.09696235967442,0.648625582547276,,Buy,0.7886295096258387,383.44332874472553,0.7862626320995811,179.64179218195542,0.8583444206549973,104.8003372884424,0.9629523846502456,61.37403652224771,0.5445426482364143,1.473715382654591,48.81803347033254,NO_TRADE,Continuation,,,30.9929669805704,,,
1747848770663,2025-05-21 17:32:50,2025-05-21,17,102.05522252497758,0.6354932415354543,,Buy,0.7770596919633243,382.8943777996988,0.7950275569053988,179.6367714791919,0.8272388189269092,84.76104598737582,1.074502527174273,61.36470226123511,0.5313962116485714,0.4600090098656718,19.667829964463245,NO_TRADE,Continuation,,,25.63185503099707,,,
1747848792339,2025-05-21 17:33:12,2025-05-21,17,72.28244808306644,0.6124511554861204,,Buy,0.7928079937208026,382.9754308601037,0.795352179868798,192.14185262219897,0.924373225437727,81.46639511201712,0.8682149307715725,61.26506404967631,0.5409727606945426,0.4102053948599042,15.452105972292852,NO_TRADE,Exhaustion,,,-1.7825311942959676,,,
1747848792725,2025-05-21 17:33:12,2025-05-21,17,72.51078274760316,0.6113666029619877,,Buy,0.7783336842503417,382.9767368550603,0.7797916773284596,192.1409128091966,0.9626339044119268,89.90110878034163,0.8805670274393144,61.26236524652825,0.5440753173592623,0.4049818722205204,15.451928252134303,NO_TRADE,Exhaustion,,,0.0,,,
1747848832586,2025-05-21 17:33:52,2025-05-21,17,70.11164355628085,0.7062916724229462,,Buy,0.7932588724442146,359.2369801883657,0.7836378676807628,197.38243530839608,0.968547561929573,59.80503558399617,1.0473017843709758,41.57860987308744,0.6072585052710725,1.0793466794415754,30.289847128966137,NO_TRADE,Exhaustion,,,-6.539055998096851,,,
1747848832716,2025-05-21 17:33:52,2025-05-21,17,71.00499592169683,0.7030241938378889,,Buy,0.8174351667697326,359.2370895076258,0.8404589595401629,197.38161113226693,1.011377323023672,60.406698564594464,1.0495776490473407,41.57887627931007,0.5991627117578652,0.9873377502401478,30.884030810044084,NO_TRADE,Exhaustion,,,-8.322929671245157,,,
1747853271746,2025-05-21 18:47:51,2025-05-21,18,887.5303370786413,0.6637430972449699,,Sell,0.6915015604344461,150.36494086810262,0.98353413148476,95.3801133455634,0.9260810186594804,-41.98698994677752,1.0865144541915956,68.19410906325786,-0.6420750522980857,1.1368172552905431,46.86670802663454,NO_TRADE,Exhaustion,,,-9.501751885505376,,,
1747853272531,2025-05-21 18:47:52,2025-05-21,18,892.8977528089782,0.6534575595932396,,Sell,0.6741335187517936,150.36384084329055,0.8750875037719905,95.3806584137269,0.9576025221648884,-35.48196333530422,1.2812818230967515,68.19528698729995,-0.6327334869505693,1.1408336413209137,42.12424071660093,NO_TRADE,Exhaustion,,,-4.154302670622741,,,
1747853272677,2025-05-21 18:47:52,2025-05-21,18,899.9404494381919,0.6544490459418614,,Sell,0.7839270668408569,150.3617676524063,1.0887213756897047,95.38850882791768,1.0699924366950575,-47.900650502661286,1.1991452609676516,68.20199678127926,-0.6778003535899939,1.3400333275949663,42.12732842249464,NO_TRADE,Exhaustion,,,-4.748056264465789,,,
1747853272677,2025-05-21 18:47:52,2025-05-21,18,909.033707865158,0.6579056659744833,,Sell,0.7839270668408569,150.3617676524063,1.0887213756897047,95.38850882791768,1.0699924366950575,-47.900650502661286,1.1991452609676516,68.20199678127926,-0.6778003535899939,1.3400333275949663,42.12732842249464,NO_TRADE,Exhaustion,,,-7.123775601068837,,,
1747853272677,2025-05-21 18:47:52,2025-05-21,18,933.2426966292044,0.6667798397757685,,Sell,0.7839270668408569,150.3617676524063,1.0887213756897047,95.38850882791768,1.0699924366950575,-47.900650502661286,1.1991452609676516,68.20199678127926,-0.6778003535899939,1.3400333275949663,42.12732842249464,NO_TRADE,Exhaustion,,,-8.906305664410741,,,
1747853272677,2025-05-21 18:47:52,2025-05-21,18,953.9640449438116,0.6740178180224876,,Sell,0.7839270668408569,150.3617676524063,1.0887213756897047,95.38850882791768,1.0699924366950575,-47.900650502661286,1.1991452609676516,68.20199678127926,-0.6778003535899939,1.3400333275949663,42.12732842249464,NO_TRADE,Reversal,,,-11.284000475115675,,,
1747853272677,2025-05-21 18:47:52,2025-05-21,18,982.5617977528016,0.6835056262007103,,Sell,0.7839270668408569,150.3617676524063,1.0887213756897047,95.38850882791768,1.0699924366950575,-47.900650502661286,1.1991452609676516,68.20199678127926,-0.6778003535899939,1.3400333275949663,42.12732842249464,NO_TRADE,Reversal,,,-13.068013068013,,,
1747853272677,2025-05-21 18:47:52,2025-05-21,18,1002.276404494376,0.6897310168089243,,Sell,0.7839270668408569,150.3617676524063,1.0887213756897047,95.38850882791768,1.0699924366950575,-47.900650502661286,1.1991452609676516,68.20199678127926,-0.6778003535899939,1.3400333275949663,42.12732842249464,NO_TRADE,Reversal,,,-15.447685817835596,,,
1747853272709,2025-05-21 18:47:52,2025-05-21,18,191.79449464173044,0.6956318816762507,,Sell,0.7327006482452573,150.3616726884055,1.02014088856491,95.38881245231428,1.216122292507365,-39.62152572442268,1.24492556192023,68.20223142520535,-0.6768532603077286,1.216426725697808,42.12742987947445,NO_TRADE,Exhaustion,,,-8.312058421895527,,,
1747853272784,2025-05-21 18:47:52,2025-05-21,18,194.1277579323377,0.6959692765307046,,Sell,0.8128969536985565,150.36130448988655,0.9402974353078992,95.38964189616604,0.9513405405732848,-38.438793613246936,1.2523937386297594,68.20280666467539,-0.678868024552989,1.068294872737826,36.80048605659925,NO_TRADE,Exhaustion,,,-7.123775601068837,,,
1747853273531,2025-05-21 18:47:53,2025-05-21,18,194.649296070602,0.6938778153931162,,Sell,0.7868925315127944,150.35995162769566,1.0960184288800698,95.39067761046677,0.9171484385718665,-33.705871917687986,1.102456065414394,68.20339192342674,-0.6746317185635464,1.337550949290557,25.52908780768809,NO_TRADE,Exhaustion,,,-4.153316720067735,,,
1747853273593,2025-05-21 18:47:53,2025-05-21,18,194.7142256776623,0.6928100836890047,,Sell,0.744715685445651,150.35991153500515,1.0010730743321392,95.39072222809769,0.9841671232809924,-33.705871917687986,1.171045282358972,68.20443950460803,-0.6788951149080913,1.1340534043727843,25.529118259304187,NO_TRADE,Exhaustion,,,-4.746647680076689,,,
1747853273671,2025-05-21 18:47:53,2025-05-21,18,194.8745534776203,0.6914540310197861,,Sell,0.7705291243354935,150.35984474274449,1.0920704456824688,95.39079652560643,1.0424429430955235,-33.705871917687986,1.2249944702355404,68.20490628897173,-0.6778609362675788,1.1742940478702042,25.529173468439403,NO_TRADE,Exhaustion,,,-4.746647680076689,,,
1747870173965,2025-05-21 23:29:33,2025-05-21,23,81.65585331452681,0.7227346529864893,,Sell,0.8083521556485148,236.4876800764881,0.9465911674324574,118.35553013174643,0.9561116843879244,-90.4642694583525,1.1416936148218744,52.19739471497071,-0.6178630667287002,1.5073224392982307,29.862476531955128,NO_TRADE,Exhaustion,,,-0.0,,,
1747870174467,2025-05-21 23:29:34,2025-05-21,23,81.74027805762577,0.7242387416590015,,Sell,0.8446385564216004,236.48771976730373,0.9994560630611088,118.35199952843814,1.0464484791412243,-95.54683501109064,1.12817704201001,50.47778617303257,-0.6196042887889306,1.5436653102242637,29.86274574262381,NO_TRADE,Exhaustion,,,-1.1484352569613443,,,
1747870174624,2025-05-21 23:29:34,2025-05-21,23,82.0244811605877,0.7181515030552366,,Sell,0.8022466194136281,236.4877408294414,0.9299516854384492,118.35286385169232,0.9905668142136174,-91.57613332575016,1.1127290735413349,50.47825201949228,-0.6118019187054231,1.3559483582995098,29.288593961466404,NO_TRADE,Exhaustion,,,2.86993456549256,,,
1747870174940,2025-05-21 23:29:34,2025-05-21,23,87.80025690430247,0.7026029284468954,,Sell,0.7980488345864979,236.48731403012263,0.9731245691053892,118.35325570601132,0.9678452502407578,-89.85952340328797,1.0395847520648267,50.47929251572162,-0.604113573047546,1.4730472423066268,28.71469795767885,NO_TRADE,Exhaustion,,,7.46054519368697,,,
1747870175557,2025-05-21 23:29:35,2025-05-21,23,83.55587668593375,0.6870246317156836,,Sell,0.8691419325924393,236.48730475466388,0.9536860916159902,118.3532373704228,1.087823929721935,-94.94570470180156,1.027307439251462,50.48238038196944,-0.6010301892846882,1.3393746199309318,26.992652517375785,NO_TRADE,Exhaustion,,,5.165882217885628,,,
