threshold,sample_events,sample_days,avg_per_day,median_per_day,est_per_day,est_total_92d,in_target,max_z,mean_z
3,77732,7,15546.4,18136.0,11104.571428571428,1021620.5714285714,❌,60.09291236515639,4.968827627844592
5,26327,7,5265.4,5656.0,3761.0,346012.0,❌,60.09291236515639,7.248934391738317
7,10245,7,2049.0,2037.0,1463.5714285714284,134648.57142857142,❌,60.09291236515639,9.483495445581912
10,2852,7,570.4,551.0,407.42857142857144,37483.42857142857,❌,60.09291236515639,12.8746070139334
15,470,7,94.0,85.0,67.14285714285714,6177.142857142857,❌,60.09291236515639,18.869325968449314
20,124,7,24.8,22.0,17.71428571428571,1629.7142857142856,❌,60.09291236515639,24.539111244360146
25,39,7,7.8,6.0,5.571428571428571,512.5714285714286,❌,60.09291236515639,30.469485564923616
30,16,7,4.0,4.0,2.2857142857142856,210.28571428571428,✅,60.09291236515639,35.61480272722703
