timestamp,datetime,flow_impact,flow_direction,flow_imbalance,burst_ratio,price,date
1747001037520,2025-05-11 22:03:57.520,0.6899702741385004,Sell,0.9719949653870359,0.8666666666666667,172.93,2025-05-11
1747001056449,2025-05-11 22:04:16.449,0.71366115292739,Sell,1.0,1.0,172.8,2025-05-11
1747001065045,2025-05-11 22:04:25.045,1.6926213839683955,Sell,0.9920509936257969,0.6333333333333333,172.82,2025-05-11
1747001075464,2025-05-11 22:04:35.464,1.2639194351198058,Sell,1.0,1.0,172.63,2025-05-11
1747001096316,2025-05-11 22:04:56.316,1.5024457053414204,Sell,0.9987853021560886,0.9333333333333333,172.47,2025-05-11
1747001101300,2025-05-11 22:05:01.300,0.7989907485281748,Sell,0.9832985386221296,1.0,172.32,2025-05-11
1747001101300,2025-05-11 22:05:01.300,0.9512689853064858,Sell,1.0,1.0,172.3,2025-05-11
1747001101944,2025-05-11 22:05:01.944,1.013308266956909,Sell,0.9990240093695101,1.0,172.29,2025-05-11
1747001114647,2025-05-11 22:05:14.647,1.2812002593880798,Sell,1.0,1.0,172.16,2025-05-11
1747001116693,2025-05-11 22:05:16.693,2.0438805685395396,Sell,0.9552838109144004,0.7333333333333333,172.15,2025-05-11
1747001119101,2025-05-11 22:05:19.101,0.8237392795883361,Sell,0.7560333479596315,0.9333333333333333,172.06,2025-05-11
1747001122505,2025-05-11 22:05:22.505,0.6576499701339704,Buy,0.8159754948162111,0.9333333333333333,172.14,2025-05-11
1747001138243,2025-05-11 22:05:38.243,0.8467134813690139,Sell,0.8108510350426195,1.0,172.21,2025-05-11
1747001138243,2025-05-11 22:05:38.243,1.7714303789460364,Sell,1.0,1.0,172.18,2025-05-11
1747001138243,2025-05-11 22:05:38.243,1.874739039665971,Sell,1.0,1.0,172.14,2025-05-11
1747001138243,2025-05-11 22:05:38.243,1.6490795217308785,Sell,1.0,1.0,172.09,2025-05-11
1747001139723,2025-05-11 22:05:39.723,1.0048622366288493,Sell,0.9912724733810439,1.0,172.1,2025-05-11
1747001139723,2025-05-11 22:05:39.723,1.074272426185611,Sell,1.0,1.0,172.06,2025-05-11
1747001139723,2025-05-11 22:05:39.723,1.4135367486435064,Sell,1.0,1.0,172.01,2025-05-11
