timestamp,datetime,direction,flow_impact,imbalance,max_run,vol_decay_ratio,dir_vol_decay_ratio,trade_rate_decay_ratio,run_decay,w2_vol,w3_vol,w2_trade_rate,w3_trade_rate,w2_run,w3_run,ret_30s,classification,hour,session
1747033674208,2025-05-12 07:07:54.208,Sell,101.08368842679285,0.7693648850533985,501,1.0722138979158964,0.6666339709007684,0.8816666666666666,-84,5138.9,5510.0,120.0,105.8,127,211,16.281158769368517,Continuation,7,Asia
1747033674503,2025-05-12 07:07:54.503,Sell,102.88631327765356,0.766318663295968,501,1.254204280352977,0.6084470008216927,1.044404973357016,-84,4929.5,6182.599999999999,112.6,117.6,127,211,16.28207287631354,Continuation,7,Asia
1747033674532,2025-05-12 07:07:54.532,Sell,103.48423385034832,0.7590250715648038,501,1.620390512383698,0.8566404442387783,1.251063829787234,-106,3815.5,6182.599999999999,94.0,117.6,105,211,24.124775583483324,Continuation,7,Asia
1747033674597,2025-05-12 07:07:54.597,Sell,103.80518152377596,0.7534485448052183,501,1.7313524021105249,0.8566404442387783,1.4420289855072466,-106,3601.0,6234.599999999999,82.8,119.4,105,211,29.16596556172426,Continuation,7,Asia
1747033674842,2025-05-12 07:07:54.842,Sell,103.12476563831494,0.7605684318045431,501,4.410682370865196,4.729577983340236,2.1218274111675126,-106,3413.1000000000004,15054.1,78.8,167.2,105,211,40.37458644086799,Continuation,7,Asia
1747033705041,2025-05-12 07:08:25.041,Sell,141.97807802434497,0.7462909966113201,439,0.5125752567212578,0.6912856432410408,0.2383329463663803,-32,63648.8,32624.8,1722.8,410.6,266,298,-53.3333333333332,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-48.20233639559908,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-88.24869050330285,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-99.74920200638395,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-119.9383174367465,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-122.25078548985924,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-125.142857142857,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-125.142857142857,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-125.142857142857,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-125.142857142857,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-126.87889352460417,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-129.7736107935062,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-131.51123563382762,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-133.82899628252807,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-135.56801281317954,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-137.30762629441077,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-139.04783703364654,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.20365068003574,0.7435511191315898,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-140.78864533852274,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-48.20233639559908,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-88.24869050330285,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-99.74920200638395,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-119.9383174367465,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-122.25078548985924,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-125.142857142857,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-125.142857142857,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-125.142857142857,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-125.142857142857,Reversal,7,Asia
1747033705043,2025-05-12 07:08:25.043,Sell,142.7290622763136,0.744460047393974,439,0.5127113916133259,0.6913374219894597,0.2389153962527639,-32,63631.9,32624.8,1718.6,410.6,266,298,-126.87889352460417,Reversal,7,Asia
