event_idx,timestamp,datetime,event_price,direction,flow_impact,imbalance,max_run,ret_5s,price_5s,ret_15s,price_15s,ret_30s,price_30s,ret_60s,price_60s,ret_120s,price_120s,ret_300s,price_300s,classification
1583,1747033674208,2025-05-12 07:07:54.208,178.12,Sell,101.08368842679285,0.7693648850533985,501,-11.228385358184854,178.32,-23.018189984280067,178.53,16.281158769368517,177.83,51.65057264765416,177.2,10.66696609027609,177.93,-38.73792948573982,178.81,Continuation
1584,1747033674503,2025-05-12 07:07:54.503,178.11,Sell,102.88631327765356,0.766318663295968,501,-10.106114199089236,178.29,-23.580933131210347,178.53,16.28207287631354,177.82,53.89927572848285,177.15,9.544663410252985,177.94,-39.301555218684435,178.81,Continuation
1585,1747033674532,2025-05-12 07:07:54.532,178.24,Sell,103.48423385034832,0.7590250715648038,501,-2.8052064631947347,178.29,-16.270197486534563,178.53,24.124775583483324,177.81,60.59245960502763,177.16,16.831238779174786,177.94,-31.979353680430496,178.81,Continuation
1586,1747033674597,2025-05-12 07:07:54.597,178.29,Sell,103.80518152377596,0.7534485448052183,501,-0.5608839531111856,178.3,-13.461214874642947,178.53,29.16596556172426,177.77,60.01458298278048,177.22,19.630938358853236,177.94,-29.165965561725855,178.81,Continuation
1587,1747033674842,2025-05-12 07:07:54.842,178.33,Sell,103.12476563831494,0.7605684318045431,501,-0.5607581450115463,178.34,-10.654404755228942,178.52,40.374586440867986,177.61,63.926428531375244,177.19,22.43032580048257,177.93,-26.355632815566583,178.8,Continuation
1634,1747033704974,2025-05-12 07:08:24.974,175.79,Sell,71.21838269863862,0.7312840181804409,439,-87.60452813015647,177.33,-98.41287900335732,177.52,-79.64048011832334,177.19,-108.08350873201012,177.69,-149.61033050799224,178.42,-156.43665737527735,178.54,Reversal
1635,1747033704974,2025-05-12 07:08:24.974,175.75,Sell,71.25434884814504,0.7314196545217048,439,-89.90042674253272,177.33,-100.7112375533434,177.52,-81.93456614509233,177.19,-110.38406827880499,177.69,-151.9203413940249,178.42,-158.7482219061162,178.54,Reversal
1636,1747033704974,2025-05-12 07:08:24.974,176.67,Sell,71.70357310766555,0.731307392460343,439,-37.35778570215798,177.33,-48.112299767930196,177.52,-29.433406916851208,177.19,-57.73475972151527,177.69,-99.05473481632423,178.42,-105.84705948944386,178.54,Reversal
1637,1747033704982,2025-05-12 07:08:24.982,176.28,Sell,71.80118711800878,0.731522079869439,439,-59.56432947583455,177.33,-70.34263671431864,177.52,-51.62241887905586,177.19,-79.98638529611961,177.69,-121.39777626503214,178.42,-128.2051282051277,178.54,Reversal
1638,1747033704984,2025-05-12 07:08:24.984,175.86,Sell,72.19311236483533,0.732543278537464,439,-83.58921869669048,177.33,-94.39326737177281,177.52,-75.62834072557625,177.19,-104.06004776526692,177.69,-145.5703400432147,178.42,-152.3939497327407,178.54,Reversal
1639,1747033704985,2025-05-12 07:08:24.985,176.41,Sell,72.34955336154431,0.7293006254569133,439,-52.71809988095952,177.34,-62.92160308372619,177.52,-44.21518054532062,177.19,-72.5582449974492,177.69,-113.93911909755631,178.42,-120.74145456606743,178.54,Reversal
1640,1747033704989,2025-05-12 07:08:24.989,176.43,Sell,72.54313587212258,0.7252109132092401,439,-51.57852972850403,177.34,-61.780876268208544,177.52,-43.076574278750265,177.19,-71.41642577792841,177.69,-112.79260896672791,178.42,-119.59417332653092,178.54,Reversal
